Case number,AER form,Received date,Reporter,Country,Gender,Species,Breed,Drug,Reaction,Animals affected,Animals treated,Animals died
CHE-CA8B80A2-2024-CH-000006,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000490217&_xt=AER&_xf=pdf""> AER </a>",2025-01-09 00:00:00,Veterinarian,Switzerland,FEMALE,Dog,Crossbred Canine/dog,Daxocox 45 mg - Tablet,"Bloody diarrhoea, Death by euthanasia, Diarrhoea, Elevated blood urea nitrogen (BUN), Elevated creatinine, Vomiting",1,1,1
CHE-CA8B80A2-2025-CH-000001,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000504827&_xt=AER&_xf=pdf""> AER </a>",2025-02-11 00:00:00,Veterinarian,Switzerland,MALE,Dog,Dog (unknown),Daxocox 100 mg - Tablet,"Elevated alanine aminotransferase (ALT), Elevated gamma-glutamyl transferase (GGT), Elevated serum alkaline phosphatase (ALP), Elevated total bilirubin, Icterus, Inappetence, Loss of condition",1,1,
CHE-CA8B80A2-2025-CH-000004,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000561906&_xt=AER&_xf=pdf""> AER </a>",2025-05-28 00:00:00,Veterinarian,Switzerland,FEMALE,Dog,Collie (unspecified),"Daxocox 70 mg - Tablet, Palladia 10 mg  - Film-coated tablet, Palladia 15 mg  - Film-coated tablet, Palladia 50 mg  - Film-coated tablet","Epistaxis, Sneezing",1,1,
CHE-CA8B80A2-2025-CH-000005,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000565702&_xt=AER&_xf=pdf""> AER </a>",2025-06-04 00:00:00,Other health care professional,Switzerland,FEMALE,Dog,Retriever - Labrador,Daxocox 70 mg - Tablet,"Diarrhoea, Vomiting",1,1,
CHE-CA8B80A2-2025-CH-000007,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000569085&_xt=AER&_xf=pdf""> AER </a>",2025-06-10 00:00:00,Other health care professional,Switzerland,MALE,Dog,Sheepdog - Shetland,Daxocox 30 mg - Tablet,"Diarrhoea, Lack of efficacy - NOS",1,1,
CHE-CA8B80A2-2025-CH-000008,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000569086&_xt=AER&_xf=pdf""> AER </a>",2025-06-10 00:00:00,Other health care professional,Switzerland,FEMALE,Dog,Collie - Border,Daxocox 100 mg - Tablet,"Diarrhoea, Lack of efficacy - NOS",1,1,
DEU-CA8B80A2-2024-DE-000062,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000488895&_xt=AER&_xf=pdf""> AER </a>",2025-01-07 00:00:00,Veterinarian,Germany,FEMALE,Dog,Pointing Dog - Hungarian Short-haired (Vizsla),Daxocox 100 mg - Tablet,"Anorexia, Diarrhoea, Intestinal disorder NOS",1,1,
DEU-CA8B80A2-2024-DE-000063,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000488896&_xt=AER&_xf=pdf""> AER </a>",2025-01-07 00:00:00,Veterinarian,Germany,UNKNOWN,Dog,Dog (unknown),Daxocox 70 mg - Tablet,Haemorrhagic gastritis,1,1,
DEU-CA8B80A2-2025-DE-000005,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000513437&_xt=AER&_xf=pdf""> AER </a>",2025-02-28 00:00:00,Other,Germany,FEMALE,Dog,Shepherd Dog - Australian,"Daxocox 100 mg - Tablet, Incurin 1 mg - Tablet","Diarrhoea, Tarry or black stool (see also haemorrhagic diarrhoea), Vomiting",1,1,
DEU-CA8B80A2-2025-DE-000012,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000522149&_xt=AER&_xf=pdf""> AER </a>",2025-03-18 00:00:00,Veterinarian,Germany,MALE,Dog,Crossbred Canine/dog,Daxocox 100 mg - Tablet,"Appetite disorder NOS, Polyphagia",1,1,
