Case number,AER form,Received date,Reporter,Country,Gender,Species,Breed,Drug,Reaction,Animals affected,Animals treated,Animals died
AUS-ZOETISPV-2024-AU-01955,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000488869&_xt=AER&_xf=pdf""> AER </a>",2025-01-07 00:00:00,Veterinarian,Australia,FEMALE,Dog,"Dog (unknown), Irish Wolfhound","Anarthron 100 mg/ml Solution for Injection, Cartrophen Vet 100 mg/ml Solution for Injection., Cartrophen Vet. 100 mg/ml injektionsvæske, opløsning, Cartrophen vet, Cartrophen vet. 100 mg/ml Injektionsvätska, lösning, Cartrophen vet. 100 mg/ml injektioneste, liuos, Galliprant 100 mg - Tablet, Galliprant 20 mg - Tablet, Galliprant 60 mg - Tablet, Librela 10 mg - Solution for injection, Librela 15 mg - Solution for injection, Librela 20 mg - Solution for injection, Librela 30 mg - Solution for injection, Librela 5 mg - Solution for injection, Prevomax 10 mg/ml - Solution for injection","Abnormal posture, Abnormal radiograph finding, Anxiety, Ataxia, Behavioural disorder NOS, Cognitive disorder NOS, Collapse of leg, Cough, Deafness, Depression, Emesis, Fear/fearful, Flatulence, Halitosis, Hypersalivation, Inappetence, Increased skin sensitivity, Lameness, Pain NOS, Panting, Polydipsia, Quiet, Retching, Shivering, Trembling, Vocalisation, Weakness",1,1,
AUS-ZOETISPV-2025-AU-00052,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000582063&_xt=AER&_xf=pdf""> AER </a>",2025-07-02 00:00:00,Animal owner,Australia,FEMALE,Dog,Terrier - Fox (unspecified),"Betamox 150 mg/ml - Injektionssuspension für Tiere, Betamox 150 mg/ml Suspension for Injection, Betamox Injection, Betamox Injection, 150 mg /ml Ενέσιμο Εναιώρημα, Betamox Vet. 150 mg/ml injektionsvæske, suspension, Betamox vet 150 mg/ml injektioneste, suspensio, Cytopoint 10 mg/ml - Solution for injection, Galliprant 100 mg - Tablet, Galliprant 20 mg - Tablet, Galliprant 60 mg - Tablet, Librela 10 mg - Solution for injection, Librela 15 mg - Solution for injection, Librela 20 mg - Solution for injection, Librela 30 mg - Solution for injection, Librela 5 mg - Solution for injection, Loxicom 0.5 mg/ml  - Oral suspension (cats), Loxicom 0.5 mg/ml  - Oral suspension (dogs), Loxicom 1 mg  - Chewable tablet (dogs), Loxicom 1.5 mg/ml  - Oral suspension (dogs), Loxicom 2.5 mg  - Chewable tablet (dogs), Loxicom 20 mg/ml - Solution for injection (cattle, pigs, horses), Loxicom 5 mg/ml  - Solution for injection (cats, dogs), Loxicom 50 mg/g  - Oral paste (horses)","Abnormal cytology, Abnormal posture NOS, Abnormal radiograph finding, Arthritis, Collapse NOS (see also Cardio-vascular and Neurological disorders), Diarrhoea, Elevated C-reactive protein, Elevated globulins, Immune-mediated polyarthritis, Joint ligament disorder NOS, Joint swelling, Licking, Overdose, Pain NOS, Partial lack of efficacy, Spinal pain NOS, Tachycardia, Tachypnoea, Unable to walk, Unwell, Urinary incontinence, Vocalisation",1,1,
AUS-ZOETISPV-2025-AU-00149,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000508943&_xt=AER&_xf=pdf""> AER </a>",2025-02-19 00:00:00,Veterinarian,Australia,FEMALE,Dog,Terrier - Bull - Staffordshire,"Galliprant 100 mg - Tablet, Galliprant 20 mg - Tablet, Galliprant 60 mg - Tablet, Librela 10 mg - Solution for injection, Librela 15 mg - Solution for injection, Librela 20 mg - Solution for injection, Librela 30 mg - Solution for injection, Librela 5 mg - Solution for injection","Difficulty to rise, Hyporeflexia, Limb weakness, Pain NOS, Paresis, Proprioception deficit",1,1,
AUS-ZOETISPV-2025-AU-00877,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000556128&_xt=AER&_xf=pdf""> AER </a>",2025-05-20 00:00:00,Veterinarian,Australia,MALE,Dog,Australian Kelpie,"Galliprant 100 mg - Tablet, Galliprant 20 mg - Tablet, Galliprant 60 mg - Tablet, Librela 10 mg - Solution for injection, Librela 15 mg - Solution for injection, Librela 20 mg - Solution for injection, Librela 30 mg - Solution for injection, Librela 5 mg - Solution for injection","Elevated alanine aminotransferase (ALT), Elevated cholesterol (total), General illness, Joint pain NOS, Partial lack of efficacy, Polydipsia, Polyuria, Stiff gait, Stiffness limb, Unsettled",1,1,
AUS-ZOETISPV-2025-AU-00921,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000560431&_xt=AER&_xf=pdf""> AER </a>",2025-05-27 00:00:00,Veterinarian,Australia,MALE,Dog,"Chinese Crested Dog (unspecified), Dachshund (unspecified)","Anarthron 100 mg/ml Solution for Injection, Cartrophen Vet 100 mg/ml Solution for Injection., Cartrophen Vet. 100 mg/ml injektionsvæske, opløsning, Cartrophen vet, Cartrophen vet. 100 mg/ml Injektionsvätska, lösning, Cartrophen vet. 100 mg/ml injektioneste, liuos, Galliprant 100 mg - Tablet, Galliprant 20 mg - Tablet, Galliprant 60 mg - Tablet, Librela 10 mg - Solution for injection, Librela 15 mg - Solution for injection, Librela 20 mg - Solution for injection, Librela 30 mg - Solution for injection, Librela 5 mg - Solution for injection, Onsior 10 mg  - Tablet (dogs), Onsior 20 mg  - Tablet (dogs), Onsior 20 mg/ml  - Solution for injection (cats and dogs), Onsior 40 mg  - Tablet (dogs), Onsior 5 mg  - Tablet (dogs), Onsior 6 mg  - Tablet (cats)","Abnormal posture NOS, Anal sac disorder, Circling - neurological disorder (see also Behavioural disorders), Cognitive disorder NOS, Death by euthanasia, Decreased appetite, Diarrhoea, Difficulty standing, Difficulty to rise, Emesis (multiple), Falling, Head tilt - neurological disorder (see also Head tilt - ear disorder), Lack of efficacy - NOS, Neuromuscular disorder NOS, Oral mass, Pacing, Polyp, Rigidity of limbs, Shaking, Stiff knee, Straining to defecate, Vocalisation, Weight loss",1,1,1
AUS-ZOETISPV-2025-AU-01158,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000575771&_xt=AER&_xf=pdf""> AER </a>",2025-06-23 00:00:00,Other,Australia,FEMALE,Dog,Shepherd Dog - German,"Galliprant 100 mg - Tablet, Galliprant 20 mg - Tablet, Galliprant 60 mg - Tablet, Librela 10 mg - Solution for injection, Librela 15 mg - Solution for injection, Librela 20 mg - Solution for injection, Librela 30 mg - Solution for injection, Librela 5 mg - Solution for injection","Bloody diarrhoea, Decreased appetite, Diarrhoea, Fever, Hypokalaemia, Malaise, Septicaemia, Ulcerative colitis",1,1,
AUS-ZZELANCO-AU2024_000517,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000535225&_xt=AER&_xf=pdf""> AER </a>",2025-04-10 00:00:00,Veterinarian,Australia,MALE,Dog,Shepherd Dog - German,"Anarthron 100 mg/ml Solution for Injection, Cartrophen Vet 100 mg/ml Solution for Injection., Cartrophen Vet. 100 mg/ml injektionsvæske, opløsning, Cartrophen vet, Cartrophen vet. 100 mg/ml Injektionsvätska, lösning, Cartrophen vet. 100 mg/ml injektioneste, liuos, Galliprant 100 mg - Tablet",Diarrhoea,1,1,
AUS-ZZELANCO-AU2024_000570,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000511274&_xt=AER&_xf=pdf""> AER </a>",2025-02-25 00:00:00,Veterinarian,Australia,MALE,Dog,Munsterlander - Large,Galliprant 60 mg - Tablet,Elevated renal parameters,1,1,
AUS-ZZELANCO-AU2025_000086,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000504838&_xt=AER&_xf=pdf""> AER </a>",2025-02-11 00:00:00,Veterinarian,Australia,MALE,Dog,Siberian Husky,Galliprant 60 mg - Tablet,Lack of efficacy - NOS,1,1,
AUS-ZZELANCO-AU2025_000098,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000510291&_xt=AER&_xf=pdf""> AER </a>",2025-02-21 00:00:00,Animal owner,Australia,FEMALE,Dog,Shepherd Dog - German,Galliprant 60 mg - Tablet,"Bloody diarrhoea, Decreased appetite, Diarrhoea, Fever, Hypokalaemia, Lethargy (see also Central nervous system depression in Neurological), Septicaemia, Ulcerative colitis",1,1,
