Case number,AER form,Received date,Reporter,Country,Gender,Species,Breed,Drug,Reaction,Animals affected,Animals treated,Animals died
AUS-ZOETISPV-2025-AU-00921,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000560431&_xt=AER&_xf=pdf""> AER </a>",2025-05-27 00:00:00,Veterinarian,Australia,MALE,Dog,"Chinese Crested Dog (unspecified), Dachshund (unspecified)","Anarthron 100 mg/ml Solution for Injection, Cartrophen Vet 100 mg/ml Solution for Injection., Cartrophen Vet. 100 mg/ml injektionsvæske, opløsning, Cartrophen vet, Cartrophen vet. 100 mg/ml Injektionsvätska, lösning, Cartrophen vet. 100 mg/ml injektioneste, liuos, Galliprant 100 mg - Tablet, Galliprant 20 mg - Tablet, Galliprant 60 mg - Tablet, Librela 10 mg - Solution for injection, Librela 15 mg - Solution for injection, Librela 20 mg - Solution for injection, Librela 30 mg - Solution for injection, Librela 5 mg - Solution for injection, Onsior 10 mg  - Tablet (dogs), Onsior 20 mg  - Tablet (dogs), Onsior 20 mg/ml  - Solution for injection (cats and dogs), Onsior 40 mg  - Tablet (dogs), Onsior 5 mg  - Tablet (dogs), Onsior 6 mg  - Tablet (cats)","Abnormal posture NOS, Anal sac disorder, Circling - neurological disorder (see also Behavioural disorders), Cognitive disorder NOS, Death by euthanasia, Decreased appetite, Diarrhoea, Difficulty standing, Difficulty to rise, Emesis (multiple), Falling, Head tilt - neurological disorder (see also Head tilt - ear disorder), Lack of efficacy - NOS, Neuromuscular disorder NOS, Oral mass, Pacing, Polyp, Rigidity of limbs, Shaking, Stiff knee, Straining to defecate, Vocalisation, Weight loss",1,1,1
BEL-NORBROOK-2025-BE-NOR-00011,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000514549&_xt=AER&_xf=pdf""> AER </a>",2025-03-03 00:00:00,Veterinarian,Belgium,MALE,Cat,European,"AMODIP 1,25 mg, kramtomosios tabletės katėms, AMODIP 1.25 MG CHEWABLE TABLETS FOR CATS, Onsior 6 mg  - Tablet (cats), Thyronorm 5 mg/ml Oral Solution for Cats",Lethargy (see also Central nervous system depression in Neurological),1,1,
BEL-ZOETISPV-2025-BE-00045,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000522821&_xt=AER&_xf=pdf""> AER </a>",2025-03-19 00:00:00,Veterinarian,Belgium,MALE,Dog,Retriever - Labrador,"Librela 10 mg - Solution for injection, Librela 15 mg - Solution for injection, Librela 20 mg - Solution for injection, Librela 30 mg - Solution for injection, Librela 5 mg - Solution for injection, Onsior 10 mg  - Tablet (dogs), Onsior 20 mg  - Tablet (dogs), Onsior 20 mg/ml  - Solution for injection (cats and dogs), Onsior 40 mg  - Tablet (dogs), Onsior 5 mg  - Tablet (dogs), Onsior 6 mg  - Tablet (cats)",Vestibular disorder NOS,1,1,
BEL-ZOETISPV-2025-BE-00051,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000526351&_xt=AER&_xf=pdf""> AER </a>",2025-03-26 00:00:00,Veterinarian,Belgium,MALE,Dog,Retriever - Golden,"Librela 10 mg - Solution for injection, Librela 15 mg - Solution for injection, Librela 20 mg - Solution for injection, Librela 30 mg - Solution for injection, Librela 5 mg - Solution for injection, Onsior 20 mg/ml  - Solution for injection (cats and dogs), Tralieve 80 mg compresse masticabili per cani","Anaemia NOS, Decreased appetite, Difficulty standing, Ecchymosis, Elevated temperature, Lethargy (see also Central nervous system depression in Neurological), Muscle weakness NOS, Other blood disorder NOS, Pain NOS, Warm feeling to the touch",1,1,
BRA-ZZELANCO-BR2025_002647,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000560869&_xt=AER&_xf=pdf""> AER </a>",2025-05-27 00:00:00,Other,Brazil,FEMALE,Dog,Dog (other),Onsior 6 mg  - Tablet (cats),Localised hair loss,1,1,
BRA-ZZELANCO-BR2025_002859,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000569127&_xt=AER&_xf=pdf""> AER </a>",2025-06-10 00:00:00,Veterinarian,Brazil,UNKNOWN,Cat,Cat (unknown),"Onsior 6 mg  - Tablet (cats), Енрофлоксацин 10% разтвор","Appetite loss, Emesis (multiple), Skin lesion NOS, Wound",1,1,
CAN-BIAHPV1P-25CA001322,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000565242&_xt=AER&_xf=pdf""> AER </a>",2025-06-04 00:00:00,Veterinarian,Canada,MALE,Dog,Poodle - Standard,"NexGard Spectra 37.5 mg + 7.5 mg - Chewable tablet, Onsior 10 mg  - Tablet (dogs), Onsior 20 mg  - Tablet (dogs), Onsior 20 mg/ml  - Solution for injection (cats and dogs), Onsior 40 mg  - Tablet (dogs), Onsior 5 mg  - Tablet (dogs), Onsior 6 mg  - Tablet (cats)","Blood in vomit, Ear canal erythema, Ear discharge, Furunculosis, Otitis externa, Pain NOS, Panniculitis, Papule, Penile disorder NOS, Pustules, Swelling around eye, Ulcerative dermatitis",1,1,
CAN-BIAHPV1P-25CA001393,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000564275&_xt=AER&_xf=pdf""> AER </a>",2025-06-03 00:00:00,Veterinarian,Canada,FEMALE,Dog,"Cattle Dog - Australian (blue heeler, red heeler, Queensland cattledog)","Comfortan 10 mg/ml Solution injectable, Comfortan 10 mg/ml solution for injection for dogs and cats, NexGard Spectra 75 mg + 15 mg - Chewable tablet, Onsior 10 mg  - Tablet (dogs), Onsior 20 mg  - Tablet (dogs), Onsior 20 mg/ml  - Solution for injection (cats and dogs), Onsior 40 mg  - Tablet (dogs), Onsior 5 mg  - Tablet (dogs), Onsior 6 mg  - Tablet (cats)","Ataxia, Disorientation, Drowsiness - neurological disorder, Tremor",1,1,
CAN-OPAHPROD-CA20250041,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000557273&_xt=AER&_xf=pdf""> AER </a>",2025-05-21 00:00:00,Other health care professional,Canada,MALE,Dog,Retriever - Golden,"ANTISEDAN, ANTISEDAN 5 mg/ml SOLUCIÓN INYECTABLE PARA PERROS Y GATOS, ANTISEDAN 5 mg/ml raztopina za injiciranje za pse in mačke, ANTISEDAN 5MG/ML ΕΝΕΣΙΜΟ ΔΙΑΛΥΜΑ, ANTISEDAN SOLUTION INJECTABLE POUR CHIENS ET CHATS, ANTISEDAN, 5 mg/mL, otopina za injekciju, za pse i mačke, Anesketin 100 mg/ml Solution for Injection, Antisedan 5 mg/ 1 ml, roztwór do wstrzykiwań dla psów i kotów, Antisedan 5 mg/ml  Injektionslösung für Hunde und Katzen, Antisedan 5 mg/ml - Injektionslösung für Hunde und Katzen, Antisedan 5 mg/ml Oplossing voor injectie, Antisedan 5 mg/ml Solution injectable, Antisedan 5 mg/ml injekčný roztok, Antisedan 5 mg/ml oldatos injekció kutya és macska részére.A.U.V., Antisedan 5 mg/ml solution for injection, Antisedan 5 mg/ml solução injetável para cães e gatos, Antisedan Vet 5 mg/ml injekcinis tirpalas, Antisedan Vet 5 mg/ml šķīdums injekcijām, Antisedan Vet, 5 mg/ml süstelahus, Antisedan Vet. 5 mg/ml injektionsvæske, opløsning, Antisedan vet 5 mg/ml injektioneste, liuos, Antisedan vet. 5 mg/ml Injektionsvätska, lösning, Antisedan vet. 5 mg/ml Stungulyf, lausn Handa hundum og köttum., Antisedan vet. 5 mg/ml injeksjonsvæske, oppløsning, til hund og katt, Antisedan vet., 5 mg/ml, Injektionsvätska, lösning, Antisedan, 5 mg/ml oplossing voor injectie voor honden en katten, Antisedan, 5mg/ml, Injekční roztok, Dexdomitor 0.1 mg/ml - Solution for injection, Dexdomitor 0.5 mg/ml - Solution for injection, Librela 20 mg - Solution for injection, Onsior 10 mg  - Tablet (dogs), Onsior 20 mg  - Tablet (dogs), Onsior 20 mg/ml  - Solution for injection (cats and dogs), Onsior 40 mg  - Tablet (dogs), Onsior 5 mg  - Tablet (dogs), Onsior 6 mg  - Tablet (cats), АНТИСЕДАН ВЕТ 5 mg/ml инжекционен разтвор","Abnormal radiograph finding, Anal irritation, Ataxia, Decreased appetite, Diarrhoea, Difficulty standing, Elevated haemoglobin, Lumbar pain, Mass NOS, Monocytosis, Panting, Paralysis, Proprioception loss, Reduced reflexes, Sternoabdominal recumbency, Stridor (Upper respiratory; for lower respiratory see also Bronchial rale)",1,1,
CAN-VTQLPROD-VTQLPROD-2025-CA-000134,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000549514&_xt=AER&_xf=pdf""> AER </a>",2025-05-07 00:00:00,Other health care professional,Canada,FEMALE,Dog,Spaniel - Springer English,"CEFASEPTIN 300 MG TABLETS FOR DOGS, Onsior 20 mg  - Tablet (dogs)","Emesis (multiple), Overdose",1,1,
