Case number,AER form,Received date,Reporter,Country,Gender,Species,Breed,Drug,Reaction,Animals affected,Animals treated,Animals died
AUS-BIAHPV1P-25AU000059,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000493597&_xt=AER&_xf=pdf""> AER </a>",2025-01-17 00:00:00,Veterinarian,Australia,FEMALE,Dog,Terrier - Fox (unspecified),Previcox 57 mg - Chewable tablet,"Acute renal failure, Azotaemia, Cholangitis, Gastric ulceration NOS, Not eating, Unwell",1,1,
AUS-BIAHPV1P-25AU000241,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000532754&_xt=AER&_xf=pdf""> AER </a>",2025-04-07 00:00:00,Veterinarian,Australia,FEMALE,Dog,Dachshund (unspecified),"Dexasone 2 mg/ml Roztwór do wstrzykiwań, NexGard Spectra 18.75 mg + 3.75 mg - Chewable tablet, Previcox 57 mg - Chewable tablet, Prevomax 10 mg/ml - Solution for injection","Adipsia, Anorexia, Constipation, Decreased cholesterol (total), Decreased skin turgor, Dehydration, Elevated C-reactive protein, Elevated alanine aminotransferase (ALT), Elevated aspartate aminotransferase (AST), Elevated globulins, Enteritis, Hepatopathy, Hypoglycaemia, Inappetence, Lameness, Lethargy (see also Central nervous system depression in Neurological), Other abnormal test result NOS, Other immune system disorder NOS, Pyrexia, Systemic disorder NOS, Trembling, Weight loss",1,1,
AUS-BIAHPV1P-25AU000489,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000546669&_xt=AER&_xf=pdf""> AER </a>",2025-05-01 00:00:00,Other,Australia,MALE,Dog,Pinscher - Miniature,"Previcox 57 mg - Chewable tablet, Torbugesic 10 mg/ml Solution for Injection, Torbugesic Vet 10 mg/ml solution injectable pour chevaux, chiens et chats, Torbugesic Vet. 10 mg/ml injektionsvæske, opløsning, Torbuphanol Vet 10 mg/ml solution for injection for injection for horses, dogs and cats","Abnormal posture NOS, Aggression, Anxiety, Ataxia, Cardiac disorder NOS, Decreased pulse oxygenation, Dull, Generalised weakness, Horizontal nystagmus, Inappetence, Lateral recumbency, Oral cavity disorder NOS, Partial deafness, Ptyalism, Seizure NOS, Tachypnoea, Vocalisation, Weight loss",1,1,
AUS-BIAHPV1P-25AU000502,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000547952&_xt=AER&_xf=pdf""> AER </a>",2025-05-05 00:00:00,Other,Australia,MALE,Dog,"Cattle Dog - Australian (blue heeler, red heeler, Queensland cattledog), Dog (unknown)","Librela 10 mg - Solution for injection, Previcox 57 mg - Chewable tablet","Anisocoria, Anxiety, Difficulty to rise, Elevated serum alkaline phosphatase (ALP), Lameness, Limb weakness, Low liver enzymes NOS, Mental impairment NOS, Motor dysfunction NOS, Muscle spasm NOS, Myoclonic jerk, Nasal discharge, Neurological disorder NOS, Seizure NOS, Weight loss",1,1,
AUS-BIAHPV1P-25AU000575,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000559370&_xt=AER&_xf=pdf""> AER </a>",2025-05-25 00:00:00,Other,Australia,MALE,Dog,"Dog (unknown), Terrier - Jack Russell","Librela 10 mg - Solution for injection, Librela 15 mg - Solution for injection, Librela 20 mg - Solution for injection, Librela 30 mg - Solution for injection, Librela 5 mg - Solution for injection, Previcox 227 mg - Chewable tablet","Abnormal ultrasound finding, Collapse NOS (see also Cardio-vascular and Neurological disorders), Death by euthanasia, Decreased haematocrit, Decreased haemoglobin, Decreased red blood cell count, Elevated blood urea nitrogen (BUN), General pain (see other SOCs for specific pain), Hypoalbuminaemia, Hypoglycaemia, Hypoxia, Lethargy (see also Central nervous system depression in Neurological), Pale mucous membrane, Seizure NOS, Splenic neoplasm NOS, Unable to stand, Vomiting",1,1,1
AUS-BIAHPV1P-25AU000607,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000564089&_xt=AER&_xf=pdf""> AER </a>",2025-06-02 00:00:00,Other,Australia,FEMALE,Dog,Bulldog,"Convenia 80 mg/ml  - Powder and solvent for solution for injection, Previcox 227 mg - Chewable tablet","Collapse NOS (see also Cardio-vascular and Neurological disorders), Diarrhoea, Sudden death",1,1,1
AUS-BIAHPV1P-25AU000617,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000568311&_xt=AER&_xf=pdf""> AER </a>",2025-06-09 00:00:00,Animal owner,Australia,MALE,Dog,Shepherd Dog - German,Previcox 227 mg - Chewable tablet,"Confusion, Nystagmus, Recumbency, Seizure NOS, Spasm",1,1,
AUS-BIAHPV1P-25AU000651,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000572139&_xt=AER&_xf=pdf""> AER </a>",2025-06-16 00:00:00,Veterinarian,Australia,MALE,Dog,"Collie - Border, Dog (unknown)","Neocort oogdruppels, voor honden en katten, Pexion 400 mg  - Tablet, Previcox 227 mg - Chewable tablet","Ataxia, Elevated alanine aminotransferase (ALT), Excessive chewing, licking and/or grooming, Excessive thirst, Footpad disorder NOS, Gait abnormality, Granuloma, Hypersalivation, Inappetence, Lameness, Lethargy (see also Central nervous system depression in Neurological), Lip disorder NOS, Lumbar pain, Lymphopenia, Moist dermatitis, Monocytosis, Muscle inflammation, Peeling skin, Skin lesion NOS, Stiff gait, Ulcerative dermatitis",1,1,
AUS-BIAHPV1P-25AU000671,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000573015&_xt=AER&_xf=pdf""> AER </a>",2025-06-17 00:00:00,Other,Australia,FEMALE,Dog,Pug,Previcox 57 mg - Chewable tablet,"Abnormal posture NOS, Aggression, Anxiety, Circling - behavioural disorder (see also Neurological disorders), Crystalluria, Decreased drinking, Diarrhoea, Gagging, General pain (see other SOCs for specific pain), Hyperactivity, Inappetence, Increased appetite, Joint pain NOS, Lethargy (see also Central nervous system depression in Neurological), Lip licking, Localised pain NOS (see other SOCs for specific pain), Mental impairment NOS, Not himself/herself, Restlessness, Seizure NOS, Skin irritation, Skin lump, Uncomfortable, Urinary incontinence, Urinary retention",1,1,
AUS-BIAHPV1P-25AU000708,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000577115&_xt=AER&_xf=pdf""> AER </a>",2025-06-24 00:00:00,Other,Australia,MALE,Dog,Poodle (unspecified),"Librela 10 mg - Solution for injection, Previcox 57 mg - Chewable tablet",Seizure NOS,1,1,
