Case_number,AER_form,Reporter,Country,Gender,Species,Breed,Drug,Reaction,Animals_affected,Animals_treated,Animals_died,date,source_file,year
BE-ECUBE-2021-BE-000003,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1569655&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,Belgium,MALE,Dog,Shepherd Dog - German,Daxocox 100 mg - Tablet,Diarrhoea,1,1,NA,2021-09-07T00:00:00Z,2021_eudra_daxocox.csv,2021
ES-ECUBE-2021-ES-000056,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1556708&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,Spain,MALE,Dog,Crossbred Canine/dog,"Daxocox 100 mg - Tablet, Daxocox 45 mg - Tablet",Lack of efficacy - NOS,1,1,NA,2021-08-02T00:00:00Z,2021_eudra_daxocox.csv,2021
ES-ECUBE-2021-ES-000070,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1576468&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,Spain,FEMALE,Dog,Crossbred Canine/dog,Daxocox 70 mg - Tablet,"Anaemia NOS, Diarrhoea, Gastric ulceration NOS, Haemorrhagic gastroenteritis",1,1,NA,2021-09-28T00:00:00Z,2021_eudra_daxocox.csv,2021
ES-ECUBE-2021-ES-000086,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1588953&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,Spain,MALE,Dog,Alaskan Malamute,Daxocox 100 mg - Tablet,Vomiting,1,1,NA,2021-11-03T00:00:00Z,2021_eudra_daxocox.csv,2021
ES-ECUBE-2021-ES-000090,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1594461&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,Spain,MALE,Dog,Terrier - Yorkshire,Daxocox 30 mg - Tablet,"Anorexia, Anuria, Death by euthanasia, Elevated alanine aminotransferase (ALT), Elevated renal parameters, Renal failure, Unable to stand, Vomiting bile, Weakness",1,1,1,2021-11-22T00:00:00Z,2021_eudra_daxocox.csv,2021
ES-ECUBE-2021-ES-000091,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1592594&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,Spain,MALE,Dog,Pug,Daxocox 30 mg - Tablet,"Elevated renal parameters, Haematuria",1,1,NA,2021-11-15T00:00:00Z,2021_eudra_daxocox.csv,2021
ES-ECUES-2021-ES-000067,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1574296&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,Spain,FEMALE,Dog,Maltese,Daxocox 30 mg - Tablet,Diarrhoea,1,1,NA,2021-09-21T00:00:00Z,2021_eudra_daxocox.csv,2021
ESP-CA8B80A2-2021-ES-000099,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1617337&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,Spain,FEMALE,Dog,Dogo Argentino,Daxocox 100 mg - Tablet,"Diarrhoea, Disorder of gastrointestinal flora, Vomiting",1,1,NA,2021-12-27T00:00:00Z,2021_eudra_daxocox.csv,2021
ESP-CA8B80A2-2021-ES-000100,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1617077&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,Spain,FEMALE,Dog,Unknown,Daxocox 70 mg - Tablet,"Appetite loss, Nausea",1,1,NA,2021-12-27T00:00:00Z,2021_eudra_daxocox.csv,2021
FR-ECUBE-2021-FR-000037,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1593666&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,France,UNKNOWN,Dog,Terrier - Cairn,"Daxocox 45 mg - Tablet, Librela 10 mg - Solution for injection, Librela 15 mg - Solution for injection, Librela 20 mg - Solution for injection, Librela 30 mg - Solution for injection, Librela 5 mg - Solution for injection, NELIO 2.5 MG TABLET FOR CATS, NELIO 20 MG TABLETS FOR DOGS, NELIO 20MG ΔΙΣΚΙΟ, NELIO 5 MG TABLET FOR CATS, NELIO 5 MG TABLET FOR DOGS, NELIO 5MG ΔΙΣΚΙΟ, PREDNIDERM","Acute renal failure, Renal disorder NOS",1,1,NA,2021-11-18T00:00:00Z,2021_eudra_daxocox.csv,2021
FRA-FRAANMVF-202151575,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1595202&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,France,FEMALE,Dog,Unknown,"Daxocox 100 mg - Tablet, Librela 20 mg - Solution for injection","Anorexia, Colic, Elevated alanine aminotransferase (ALT), Elevated serum alkaline phosphatase (ALP), Nausea, Regurgitation",1,1,NA,2021-11-23T00:00:00Z,2021_eudra_daxocox.csv,2021
FRA-FRAANMVF-202151987,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1609736&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,France,FEMALE,Dog,Retriever - Golden,"Daxocox 100 mg - Tablet, Daxocox 45 mg - Tablet","Elevated alanine aminotransferase (ALT), Elevated serum alkaline phosphatase (ALP), Head tilt - neurological disorder (see also Head tilt - ear disorder), Nystagmus, Unable to stand, Vestibular disorder NOS, Vomiting",1,1,NA,2021-12-22T00:00:00Z,2021_eudra_daxocox.csv,2021
GR-ECUBE-2021-GR-000004,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1595194&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,Greece,FEMALE,Dog,Unknown,Daxocox 30 mg - Tablet,Partial lack of efficacy,1,1,NA,2021-11-23T00:00:00Z,2021_eudra_daxocox.csv,2021
GRC-CA8B80A2-2021-GR-000005,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1607279&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,Greece,FEMALE,Dog,Shepherd Dog - German,Daxocox 100 mg - Tablet,"Abnormal movement NOS, Apathy, Elevated alanine aminotransferase (ALT), Elevated blood urea nitrogen (BUN), Elevated creatinine, Elevated gamma-glutamyl transferase (GGT), Elevated liver enzymes NOS, Elevated renal parameters, Loss of voluntary movement, Polydipsia, Polyuria",1,1,NA,2021-12-21T00:00:00Z,2021_eudra_daxocox.csv,2021
IT-ECUBE-2021-IT-000002,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1596387&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,Italy,FEMALE,Dog,Collie - Border,Daxocox 100 mg - Tablet,Thrombocytopenia,1,1,NA,2021-11-26T00:00:00Z,2021_eudra_daxocox.csv,2021
