Case_number,AER_form,Reporter,Country,Gender,Species,Breed,Drug,Reaction,Animals_affected,Animals_treated,Animals_died,date,source_file,year
AU-VETMEDICA-MT02/AUS01,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=3512&_xt=AER&_xf=pdf""> AER </a>",Unknown,Australia,FEMALE,Dog,Unknown,"Cefalexin 120mg, Cefalexin 180 mg/ml injekčná suspenzia, Cefalexin 600mg, Metacam 0.5 mg/ml - Oral suspension (cats, guinea pigs), Metacam 0.5 mg/ml - Oral suspension (dogs), Metacam 1 mg - Chewable tablet (dogs), Metacam 1.5 mg/ml - Oral suspension (dogs), Metacam 15 mg/ml - Oral suspension (horses), Metacam 15 mg/ml - Oral suspension (pigs), Metacam 2 mg/ml - Solution for injection (cats), Metacam 2.5 mg - Chewable tablet (dogs), Metacam 20 mg/ml - Solution for injection (cattle, pigs, horses), Metacam 40 mg/ml - Solution for injection (cattle, horses), Metacam 5 mg/ml - Solution for injection (cats, dogs), Metacam 5 mg/ml - Solution for injection (cattle, pigs), Metacam 5 mg/ml - Solution for injection (dogs)","Lethargy (see also Central nervous system depression in Neurological), Renal failure, Urinary incontinence, Vomiting",1,1,NA,2004-08-02T00:00:00Z,2004_eudra_metacam.csv,2004
BE-VETMEDICA-02/10/25,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=3505&_xt=AER&_xf=pdf""> AER </a>",Unknown,Belgium,FEMALE,Dog,Unknown,"FORTEKOR 2,5 COMPRIMES POUR CHATS ET CHIENS, FORTEKOR 2,5 compresse per cani di piccola taglia e gatti, FORTEKOR 2,5 mg comprimés pour chiens et chats, FORTEKOR 20 Compresse rivestite con film per cani, FORTEKOR 5 Compresse rivestite con film per cani e gatti, FORTEKOR F 20 COMPRIMES POUR CHIENS, FORTEKOR F 5 COMPRIMES POUR CHATS ET CHIENS, Fortekor 2,5 mg  Tablet, Fortekor 2,5 mg, tabletten voor honden en katten, Fortekor 2.5 mg tablets for cats and dogs, Fortekor Gourmet 2,5 mg, Fortekor Vet. 2,5 mg tabletter, Fortekor Vet. 20 mg tabletter, Fortekor Vet. 5 mg tabletter, Fortekor vet. 2,5 mg Tablett, Fortekor vet. 2,5 mg tabletit kissoille ja koirille, Fortekor vet. 2,5 mg, tabletter til hund og katt, Fortekor vet. 20 mg Tablett, Fortekor vet. 20 mg tabletit koirille, Fortekor vet. 20 mg, tabletter til hund, Fortekor vet. 5 mg Tablett, Fortekor vet. 5 mg tabletit kissoille ja koirille, Fortekor vet. 5 mg, tabletter til hund og katt, Metacam 0.5 mg/ml - Oral suspension (cats, guinea pigs), Metacam 0.5 mg/ml - Oral suspension (dogs), Metacam 1 mg - Chewable tablet (dogs), Metacam 1.5 mg/ml - Oral suspension (dogs), Metacam 15 mg/ml - Oral suspension (horses), Metacam 15 mg/ml - Oral suspension (pigs), Metacam 2 mg/ml - Solution for injection (cats), Metacam 2.5 mg - Chewable tablet (dogs), Metacam 20 mg/ml - Solution for injection (cattle, pigs, horses), Metacam 40 mg/ml - Solution for injection (cattle, horses), Metacam 5 mg/ml - Solution for injection (cats, dogs), Metacam 5 mg/ml - Solution for injection (cattle, pigs), Metacam 5 mg/ml - Solution for injection (dogs)","Appetite loss, Application site petechiae, Vomiting",1,1,1,2004-08-02T00:00:00Z,2004_eudra_metacam.csv,2004
CA-BOEHRINGER-04-27,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=2230&_xt=AER&_xf=pdf""> AER </a>",Unknown,Canada,FEMALE,Dog,Unknown,Metacam 1.5 mg/ml - Oral suspension (dogs),"Anaemia NOS, Anuria, Central nervous system depression, Death by euthanasia, Uraemia",1,1,1,2004-11-03T00:00:00Z,2004_eudra_metacam.csv,2004
CA-BOEHRINGER-04-28,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=2243&_xt=AER&_xf=pdf""> AER </a>",Unknown,Canada,MALE,Dog,Rottweiler,Metacam 1.5 mg/ml - Oral suspension (dogs),"Anorexia, Cough, Death by euthanasia, Diarrhoea, Lethargy (see also Central nervous system depression in Neurological), Tachycardia, Tachypnoea, Vomiting",1,1,1,2004-11-04T00:00:00Z,2004_eudra_metacam.csv,2004
CA-VETMEDICA-02-17,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=3335&_xt=AER&_xf=pdf""> AER </a>",Unknown,Canada,FEMALE,Dog,Unknown,"Metacam 0.5 mg/ml - Oral suspension (cats, guinea pigs), Metacam 0.5 mg/ml - Oral suspension (dogs), Metacam 1 mg - Chewable tablet (dogs), Metacam 1.5 mg/ml - Oral suspension (dogs), Metacam 15 mg/ml - Oral suspension (horses), Metacam 15 mg/ml - Oral suspension (pigs), Metacam 2 mg/ml - Solution for injection (cats), Metacam 2.5 mg - Chewable tablet (dogs), Metacam 20 mg/ml - Solution for injection (cattle, pigs, horses), Metacam 40 mg/ml - Solution for injection (cattle, horses), Metacam 5 mg/ml - Solution for injection (cats, dogs), Metacam 5 mg/ml - Solution for injection (cattle, pigs), Metacam 5 mg/ml - Solution for injection (dogs)",Thrombocytopenia,1,1,NA,2004-07-30T00:00:00Z,2004_eudra_metacam.csv,2004
CA-VETMEDICA-02-20,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=3385&_xt=AER&_xf=pdf""> AER </a>",Unknown,Canada,MALE,Dog,Collie - Border,"Metacam 0.5 mg/ml - Oral suspension (cats, guinea pigs), Metacam 0.5 mg/ml - Oral suspension (dogs), Metacam 1 mg - Chewable tablet (dogs), Metacam 1.5 mg/ml - Oral suspension (dogs), Metacam 15 mg/ml - Oral suspension (horses), Metacam 15 mg/ml - Oral suspension (pigs), Metacam 2 mg/ml - Solution for injection (cats), Metacam 2.5 mg - Chewable tablet (dogs), Metacam 20 mg/ml - Solution for injection (cattle, pigs, horses), Metacam 40 mg/ml - Solution for injection (cattle, horses), Metacam 5 mg/ml - Solution for injection (cats, dogs), Metacam 5 mg/ml - Solution for injection (cattle, pigs), Metacam 5 mg/ml - Solution for injection (dogs)","Diarrhoea, Vomiting",1,1,NA,2004-08-02T00:00:00Z,2004_eudra_metacam.csv,2004
CA-VETMEDICA-02-21,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=3341&_xt=AER&_xf=pdf""> AER </a>",Unknown,Canada,MALE,Dog,Rottweiler,"Metacam 0.5 mg/ml - Oral suspension (cats, guinea pigs), Metacam 0.5 mg/ml - Oral suspension (dogs), Metacam 1 mg - Chewable tablet (dogs), Metacam 1.5 mg/ml - Oral suspension (dogs), Metacam 15 mg/ml - Oral suspension (horses), Metacam 15 mg/ml - Oral suspension (pigs), Metacam 2 mg/ml - Solution for injection (cats), Metacam 2.5 mg - Chewable tablet (dogs), Metacam 20 mg/ml - Solution for injection (cattle, pigs, horses), Metacam 40 mg/ml - Solution for injection (cattle, horses), Metacam 5 mg/ml - Solution for injection (cats, dogs), Metacam 5 mg/ml - Solution for injection (cattle, pigs), Metacam 5 mg/ml - Solution for injection (dogs)",Diarrhoea,1,1,NA,2004-07-30T00:00:00Z,2004_eudra_metacam.csv,2004
CA-VETMEDICA-02-23,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=3395&_xt=AER&_xf=pdf""> AER </a>",Unknown,Canada,MALE,Dog,Retriever - Nova Scotia Duck Tolling,"Metacam 0.5 mg/ml - Oral suspension (cats, guinea pigs), Metacam 0.5 mg/ml - Oral suspension (dogs), Metacam 1 mg - Chewable tablet (dogs), Metacam 1.5 mg/ml - Oral suspension (dogs), Metacam 15 mg/ml - Oral suspension (horses), Metacam 15 mg/ml - Oral suspension (pigs), Metacam 2 mg/ml - Solution for injection (cats), Metacam 2.5 mg - Chewable tablet (dogs), Metacam 20 mg/ml - Solution for injection (cattle, pigs, horses), Metacam 40 mg/ml - Solution for injection (cattle, horses), Metacam 5 mg/ml - Solution for injection (cats, dogs), Metacam 5 mg/ml - Solution for injection (cattle, pigs), Metacam 5 mg/ml - Solution for injection (dogs)","Dehydration, Jaundice, Pyrexia, Vomiting, Weakness",1,1,NA,2004-08-02T00:00:00Z,2004_eudra_metacam.csv,2004
CA-VETMEDICA-02-25,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=3339&_xt=AER&_xf=pdf""> AER </a>",Unknown,Canada,FEMALE,Dog,Unknown,"Metacam 0.5 mg/ml - Oral suspension (cats, guinea pigs), Metacam 0.5 mg/ml - Oral suspension (dogs), Metacam 1 mg - Chewable tablet (dogs), Metacam 1.5 mg/ml - Oral suspension (dogs), Metacam 15 mg/ml - Oral suspension (horses), Metacam 15 mg/ml - Oral suspension (pigs), Metacam 2 mg/ml - Solution for injection (cats), Metacam 2.5 mg - Chewable tablet (dogs), Metacam 20 mg/ml - Solution for injection (cattle, pigs, horses), Metacam 40 mg/ml - Solution for injection (cattle, horses), Metacam 5 mg/ml - Solution for injection (cats, dogs), Metacam 5 mg/ml - Solution for injection (cattle, pigs), Metacam 5 mg/ml - Solution for injection (dogs)","Application site petechiae, Conjunctivitis, Haematemesis, Thrombocytopenia",1,1,NA,2004-07-30T00:00:00Z,2004_eudra_metacam.csv,2004
CA-VETMEDICA-02-26,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=3511&_xt=AER&_xf=pdf""> AER </a>",Unknown,Canada,FEMALE,Dog,Unknown,"Metacam 0.5 mg/ml - Oral suspension (cats, guinea pigs), Metacam 0.5 mg/ml - Oral suspension (dogs), Metacam 1 mg - Chewable tablet (dogs), Metacam 1.5 mg/ml - Oral suspension (dogs), Metacam 15 mg/ml - Oral suspension (horses), Metacam 15 mg/ml - Oral suspension (pigs), Metacam 2 mg/ml - Solution for injection (cats), Metacam 2.5 mg - Chewable tablet (dogs), Metacam 20 mg/ml - Solution for injection (cattle, pigs, horses), Metacam 40 mg/ml - Solution for injection (cattle, horses), Metacam 5 mg/ml - Solution for injection (cats, dogs), Metacam 5 mg/ml - Solution for injection (cattle, pigs), Metacam 5 mg/ml - Solution for injection (dogs), TRIBRISSEN 40% premix na medikáciu krmiva pre ošípané a ryby","Anorexia, Dyspnoea, Gastric ulcer, Melaena, Pale mucous membrane, Weakness",1,1,NA,2004-08-02T00:00:00Z,2004_eudra_metacam.csv,2004
