Case_number,AER_form,Reporter,Country,Gender,Species,Breed,Drug,Reaction,Animals_affected,Animals_treated,Animals_died,date,source_file,year
AUS-ZZELANCO-AU2021_000315,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1553210&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,Australia,FEMALE,Dog,Australian Kelpie,Onsior 20 mg/ml  - Solution for injection (cats and dogs),"Lethargy (see also Central nervous system depression in Neurological), Vomiting",1,1,NA,2021-07-21T00:00:00Z,2021_eudra_onisor.csv,2021
AUS-ZZELANCO-AU2021_000621,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1602921&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,Australia,FEMALE,Unknown,Unknown,"Onsior 20 mg/ml  - Solution for injection (cats and dogs), Onsior 5 mg  - Tablet (dogs)","Elevated liver enzymes NOS, Inappetence, Lethargy (see also Central nervous system depression in Neurological), Mast cell tumour",1,1,NA,2021-12-13T00:00:00Z,2021_eudra_onisor.csv,2021
AUT-ZOETISPV-2021-AT-00041,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1579027&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,Austria,MALE,Cat,"European, Exotic","Convenia 80 mg/ml  - Powder and solvent for solution for injection, Onsior 10 mg  - Tablet (dogs), Onsior 20 mg  - Tablet (dogs), Onsior 20 mg/ml  - Solution for injection (cats and dogs), Onsior 40 mg  - Tablet (dogs), Onsior 5 mg  - Tablet (dogs), Onsior 6 mg  - Tablet (cats)",Sudden death,2,2,2,2021-10-05T00:00:00Z,2021_eudra_onisor.csv,2021
BEL-BIAHPV1P-21BE000092,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1560692&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,Belgium,FEMALE,Cat,Cat (other),"Onsior 10 mg  - Tablet (dogs), Onsior 20 mg  - Tablet (dogs), Onsior 20 mg/ml  - Solution for injection (cats and dogs), Onsior 40 mg  - Tablet (dogs), Onsior 5 mg  - Tablet (dogs), Onsior 6 mg  - Tablet (cats), Prevomax 10 mg/ml - Solution for injection, STOMORGYL P.A. COMPRIMES, STOMORGYL PA, 100 000 UI/16,67 mg, tabletten voor katten en honden, Stomorgyl PA, 100 000 UI/16,67 mg, comprimés pour chats et chiens","Anorexia, Apathy, Ataxia, Hyperexcitation",2,2,NA,2021-08-13T00:00:00Z,2021_eudra_onisor.csv,2021
BRA-ZZELANCO-BR2021_003022,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1589237&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,Brazil,FEMALE,Dog,"Dog (other), Hound - Swiss - (Lucerne Hound (Luzerner Laufhund), Schwyz Hound (Schweizer Laufhund), Bernese Hound, Jura Hound)","Galliprant 60 mg - Tablet, Onsior 20 mg/ml  - Solution for injection (cats and dogs)","Blood in vomit, Death",1,1,1,2021-11-03T00:00:00Z,2021_eudra_onisor.csv,2021
CA-BAYERBAH-2021-712594,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1555713&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,Canada,FEMALE,Dog,Schnauzer - Miniature,"CLAVASEPTIN 40+10 MG ΔΙΣΚΙΟ, CLAVASEPTIN 400+100MG ΔΙΣΚΙΟ, CLAVASEPTIN 500MG PALATABLE TABLETS FOR DOGS, CLAVASEPTIN 50MG PALATABLE TABLETS FOR DOGS AND CATS, CLAVASEPTIN 600+150MG ΔΙΣΚΙΟ, CLAVASEPTIN 62.5 MG PALATABLE TABLETS FOR DOGS AND CATS, CLAVASEPTIN P 250 MG TABLETS FOR DOGS, CLAVASEPTIN P 62,5 MG ΔΙΣΚΙΟ, CLAVASEPTIN P 750 MG TABLETS FOR DOGS, Clavaseptin 250 mg okusne tablete za pse, Clavaseptin 250 mg, tabletid koertele, Clavaseptin 50 mg, tabletid koertele ja kassidele, Clavaseptin 500 mg, tabletid koertele, Clavaseptin 600 mg/150 mg tabletter för hund, Clavaseptin 750 mg Tabletten für Hunde, Clavaseptin 750 mg okusne tablete za pse, Clavaseptin 750 mg palatable tablets for dogs, Neptra 16.7 mg/ml florfenicol + 16.7 mg/ml terbinafine hydrochloride + 2.2 mg/ml mometasone furoate - Ear drops, solution in single-dose container, Onsior 10 mg  - Tablet (dogs), Onsior 20 mg  - Tablet (dogs), Onsior 20 mg/ml  - Solution for injection (cats and dogs), Onsior 40 mg  - Tablet (dogs), Onsior 5 mg  - Tablet (dogs), Onsior 6 mg  - Tablet (cats)","Abnormal Schirmer tear test, Abnormal cytology, Corneal ulcer, Cough, Dry eye, Keratoconjunctivitis sicca, Nasal discharge, Ocular discharge",1,1,NA,2021-07-28T00:00:00Z,2021_eudra_onisor.csv,2021
CAN-BIAHPV1P-21CA001613,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1544902&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,Canada,MALE,Dog,Weimaraner,"Dexdomitor 0.1 mg/ml - Solution for injection, Dexdomitor 0.5 mg/ml - Solution for injection, NexGard Spectra 75 mg + 15 mg - Chewable tablet, Onsior 10 mg  - Tablet (dogs), Onsior 20 mg  - Tablet (dogs), Onsior 20 mg/ml  - Solution for injection (cats and dogs), Onsior 40 mg  - Tablet (dogs), Onsior 5 mg  - Tablet (dogs), Onsior 6 mg  - Tablet (cats)","Diarrhoea, Fever, Hypersalivation, Mydriasis, Stupor, Tremor, Unable to stand",1,1,NA,2021-06-28T00:00:00Z,2021_eudra_onisor.csv,2021
CAN-ZOETISPV-2021-CA-00549,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1501071&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,Canada,MALE,Cat,Cat (other),"Convenia 80 mg/ml  - Powder and solvent for solution for injection, Onsior 10 mg  - Tablet (dogs), Onsior 20 mg  - Tablet (dogs), Onsior 20 mg/ml  - Solution for injection (cats and dogs), Onsior 40 mg  - Tablet (dogs), Onsior 5 mg  - Tablet (dogs), Onsior 6 mg  - Tablet (cats)","Adipsia, Anorexia, Death by euthanasia, Decreased activity, Dehydration, Hypothermia, Shock",1,1,1,2021-03-04T00:00:00Z,2021_eudra_onisor.csv,2021
CAN-ZOETISPV-2021-CA-01183,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1519477&_xt=AER&_xf=pdf""> AER </a>",Other health care professional,Canada,FEMALE,Cat,Cat (other),"Convenia 80 mg/ml  - Powder and solvent for solution for injection, Onsior 6 mg  - Tablet (cats)","Fever, Heart murmur, Oral abscess, Sudden death",1,1,1,2021-04-26T00:00:00Z,2021_eudra_onisor.csv,2021
CAN-ZZELANCO-CA2020_001314,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1481769&_xt=AER&_xf=pdf""> AER </a>",Other health care professional,Canada,MALE,Cat,Scottish Fold Longhair,"Onsior 20 mg/ml  - Solution for injection (cats and dogs), Onsior 6 mg  - Tablet (cats)","Fever, Hypersalivation, Lethargy (see also Central nervous system depression in Neurological), Neutropenia, Oral cavity disorder NOS, Other abnormal test result NOS, Polyarthritis, Skin lesion NOS, Skin petechiae",1,1,NA,2021-01-04T00:00:00Z,2021_eudra_onisor.csv,2021
