Case_number,AER_form,Reporter,Country,Gender,Species,Breed,Drug,Reaction,Animals_affected,Animals_treated,Animals_died,date,source_file,year
AUS-BIAHPV1P-21AU000308,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1504132&_xt=AER&_xf=pdf""> AER </a>",Other health care professional,Australia,MALE,Dog,Poodle - Miniature,Previcox 227 mg - Chewable tablet,"Death by euthanasia, Elevated renal parameters, Inappetence, Lethargy (see also Central nervous system depression in Neurological), Leucocytosis NOS",1,1,1,2021-03-12T00:00:00Z,2021_eudra_previcox.csv,2021
AUS-BIAHPV1P-21AU000486,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1518323&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,Australia,UNKNOWN,Dog,Dog (other),Previcox 227 mg - Chewable tablet,Diarrhoea,1,1,NA,2021-04-22T00:00:00Z,2021_eudra_previcox.csv,2021
AUS-BIAHPV1P-21AU000511,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1517734&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,Australia,UNKNOWN,Horse,Horse (other),Previcox 57 mg - Chewable tablet,Colic,1,1,NA,2021-04-21T00:00:00Z,2021_eudra_previcox.csv,2021
AUS-BIAHPV1P-21AU000570,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1526961&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,Australia,FEMALE,Dog,Retriever - Labrador,"Cartrophen vet, Previcox 227 mg - Chewable tablet","Elevated alanine aminotransferase (ALT), Elevated serum alkaline phosphatase (ALP)",1,1,NA,2021-05-13T00:00:00Z,2021_eudra_previcox.csv,2021
AUS-BIAHPV1P-21AU000748,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1540546&_xt=AER&_xf=pdf""> AER </a>",Other health care professional,Australia,MALE,Dog,Dog (other),Previcox 227 mg - Chewable tablet,"Diarrhoea, Vomiting",1,1,NA,2021-06-18T00:00:00Z,2021_eudra_previcox.csv,2021
AUS-BIAHPV1P-21AU000921,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1558777&_xt=AER&_xf=pdf""> AER </a>",Other health care professional,Australia,FEMALE,Dog,Greyhound,Previcox 227 mg - Chewable tablet,Diarrhoea,1,1,NA,2021-08-06T00:00:00Z,2021_eudra_previcox.csv,2021
AUS-BIAHPV1P-21AU001059,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1568482&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,Australia,MALE,Dog,Pug,Previcox 227 mg - Chewable tablet,"Depigmentation of nasal plane, Haematemesis, Local swelling (not application site), Moist dermatitis",1,1,NA,2021-09-03T00:00:00Z,2021_eudra_previcox.csv,2021
AUS-BIAHPV1P-21AU001158,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1576579&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,Australia,FEMALE,Dog,Retriever - Golden,"Adrenaline 1 mg/ml, oplossing voor injectie, Adrenaline, 1 mg/ml oplossing voor injectie, Atropine 0,1% pro inj., 1 mg/ml oplossing voor injectie voor honden en katten., Previcox 227 mg - Chewable tablet","Abdominal cavity disorder NOS, Abdominal cavity haemorrhage, Cardiac enlargement, Collapse NOS (see also Cardio-vascular and Neurological disorders), Cyanosis, Death, Elevated creatinine, Generalised weakness, Hyperglycaemia, Hypoglycaemia, Hypotension, Hypoxia, Inappetence, Increased lung sounds, Loose stool, Low ionized calcium (Ca; Hypocalcaemia, ionized), Other abnormal test result NOS, Panting, Pleural fluid, abnormal NOS, Prolonged activated partial thrombin time (APTT), Respiratory arrest, Respiratory signs, Spleen and reticulo-endothelial system disorder NOS, Strabismus, Tachycardia, Ventricular fibrillation, Vomiting",1,1,1,2021-09-28T00:00:00Z,2021_eudra_previcox.csv,2021
AUS-BIAHPV1P-21AU001329,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1593978&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,Australia,FEMALE,Dog,Terrier - Bull - Staffordshire,Previcox 227 mg - Chewable tablet,"Blood in vomit, Melaena, Vomiting",1,1,NA,2021-11-19T00:00:00Z,2021_eudra_previcox.csv,2021
BE-UKPFIZAH-2020-BE-00139,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1513987&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,Belgium,MALE,Dog,Mountain Dog - Bernese,"Apoquel 16 mg - Film-coated tablet, Ketamin-10%, MARBOCYL 10 %, injekcinis tirpalas galvijams ir kiaulėms, MARBOCYL 10%, MARBOCYL 10% 100MG/1ML ΕΝΕΣΙΜΟ ΔΙΑΛΥΜΑ, MARBOCYL 10%, 100 mg/mL, otopina za injekciju za goveda i svinje (krmače), MARBOCYL 100 MG/ML, SOLUTION FOR INJECTION FOR CATTLE AND PIGS, MARBOCYL 100 mg/ml raztopina za injiciranje za goveda in prašiče, MARBOCYL 2 %, injekcinis tirpalas galvijams ir kiaulėms, MARBOCYL 20 MG/ML SOLUTION FOR INJECTION FOR CATTLE AND PIGS, MARBOCYL P 20MG ΔΙΣΚΙΟ, MARBOCYL P 5MG ΔΙΣΚΙΟ, MARBOCYL P 80MG ΔΙΣΚΙΟ, MARBOCYL, 100mg/ml, Injekční roztok, Marbocyl 10 100 mg/ml Roztwór do wstrzykiwań, Marbocyl 10% 100 mg/ml, šķīdums injekcijām liellopiem un cūkām, Marbocyl 10%, 100 mg/ml, süstelahus veistele ja sigadele, Marbocyl 100 mg/ml Solution for Injection, Marbocyl 100 mg/ml injekčný roztok, Marbocyl 100 mg/ml oldatos injekció szarvasmarhák és sertések részére A.U.V., Marbocyl 2% 20 mg/ml, šķīdums injekcijām liellopiem un cūkām, Marbocyl 2%, 20 mg/ml, süstelahus veistele ja sigadele, Marbocyl 20 mg 20 mg Tablet, Marbocyl 20 mg/ml Solution for Injection, Marbocyl 20 mg/ml oldatos injekció szarvasmarhák és sertések részére A.U.V., Marbocyl 5 mg 5 mg Tablet, Marbocyl 80 mg 80 mg Tablet, Marbocyl Vet 20 mg tablets for dogs, Marbocyl Vet 5 mg tablets for dogs and cats, Marbocyl Vet. tabletter 80 mg, Marbocyl palatável 80 mg, Previcox 227 mg - Chewable tablet, Previcox 57 mg - Chewable tablet, Previcox 8.2 mg/g - Oral paste, RAPIDEXON, Rapidexon 2 mg/ml Solution injectable, Rapidexon 2 mg/ml oplossing voor injectie, Rapidexon 2 mg/ml solution for injection, Rapidexon 2 mg/ml, solução injetável, VETERGESIC MULTIDOSE, 0.3MG/ML, SOLUTION FOR INJECTION FOR DOGS AND CATS","Abscess NOS, Aggression, Death, Elevated C-reactive protein, Enlarged lymph node (localised), Food refusal, Lack of efficacy - NOS, Limping, Oedema NOS (see other SOCs for specific oedemas), Other abnormal test result NOS, Pain NOS, Petechiae NOS",1,1,1,2021-04-09T00:00:00Z,2021_eudra_previcox.csv,2021
