llt,n
overdose,727
leucocytosis nos,320
underdose,291
low thyroxine (t),205
gastric ulceration nos,191
gall bladder bile duct disorder nos,173
elevated proteincreatinine ratio,149
excessive chewing,120
licking and/or grooming,120
low sodium-potassium ratio (nak ratio),113
leucopenia nos,88
ionized),64
positive,54
stridor (upper respiratory for lower respiratory see also bronchial rale),54
abnormal nos,53
high ionized calcium (ca hypercalcemia,49
peritoneal fluid,46
cloudy eye (for miosis,40
nystagmus - see neurological),40
high sodium-potassium ratio (nak ratio),38
chewing - pruritus (see also oral cavity disorders),35
myelopathy nos,33
elevated thyroxine (t),30
hypernatremia,28
synovial fluid,28
hacking,27
productive,27
confused,26
no reference,26
agglutination test,21
no sign,19
saline slide agglutination test,19
high white blood cell count,18
low free thyroxine (ft),17
bloating and distension,15
low ionized calcium (ca hypocalcaemia,15
direct coombs test,14
chewing - oral cavity disorder (see also pruritus),13
lack of efficacy (neoplasia,13
perinatal mortality nos,13
swelling around eye,13
swollen eye,12
generalised allergic reaction nos,9
heart block nd degree,9
pleural fluid,8
abnormal urine cortisolcreatinine ratio (uccr),7
high protein level,7
heart block st degree,6
periorbital oedema,6
polycythaemia,6
partial remission),5
high red blood cell count,4
low free tri-iodothyronine (ft),4
no remission),4
panleucopenia,4
relapse),4
lack of efficacy (bacteria) - ecoli,3
abnormal thyroxine autoantibodies (taa),2
anal sac adenocarcioma,2
feeling sick,2
high free thyroxine (ft),2
intestinal tumour (adenocarcinoma/adenoma/gastro intestinal stromal tumour (gist)),2
low tri-iodothyronine (t),2
heart block rd degree,1
high tri-iodothyronine (t),1
