Case number,AER form,Received date,Reporter,Country,Gender,Species,Breed,Drug,Reaction,Animals affected,Animals treated,Animals died
AU-FRMERIAL-16AU000098,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=569370&_xt=AER&_xf=pdf""> AER </a>",2016-02-10 00:00:00,Veterinarian,Australia,FEMALE,Dog,Spaniel - Cocker English,Previcox 57 mg - Chewable tablet,"Deafness, Otitis externa",1,1,
AU-FRMERIAL-16AU000418,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=605946&_xt=AER&_xf=pdf""> AER </a>",2016-08-22 00:00:00,Veterinarian,Australia,UNKNOWN,Dog,Dog (other),"Previcox 227 mg - Chewable tablet, Previcox 57 mg - Chewable tablet",Death,1,1,1
AU-NLINTVINT-2015-AU-00991,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=582479&_xt=AER&_xf=pdf""> AER </a>",2016-04-12 00:00:00,Veterinarian,Australia,MALE,Dog,Crossbred Canine/dog,"Bravecto 500 mg - Chewable tablet, Cerenia 10 mg/ml  - Solution for injection, Previcox 227 mg - Chewable tablet, Previcox 57 mg - Chewable tablet, Previcox 8.2 mg/g - Oral paste","Abdominal discomfort, Acidic urine, Blood in urine, Death by euthanasia, Decreased urine concentration, Dehydration, Elevated blood urea nitrogen (BUN), Elevated cholesterol (total), Elevated creatinine, Elevated serum alkaline phosphatase (ALP), Enlarged kidney(s), Heart murmur, Hypercalcaemia, Hyperphosphataemia, Hyperproteinaemia, Hyponatremia, Inappetence, Lameness, Lethargy (see also Central nervous system depression in Neurological), Other abnormal test result NOS, Proteinuria, Urinary tract infection, Vomiting",1,1,1
AUS-ZZELANCORG-AU201600426,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=580927&_xt=AER&_xf=pdf""> AER </a>",2016-04-01 00:00:00,Animal owner,Australia,FEMALE,Dog,Collie - Border,"Previcox 227 mg - Chewable tablet, Previcox 57 mg - Chewable tablet, Previcox 8.2 mg/g - Oral paste","Convulsion, Vocalisation",1,2,
BR-FRMERIAL-12BR000546,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=574732&_xt=AER&_xf=pdf""> AER </a>",2016-03-01 00:00:00,Animal owner,Brazil,MALE,Dog,Corgi - Welsh Pembroke,Previcox 57 mg - Chewable tablet,"Death, Emesis, Local swelling (not application site), Skin disorders NOS, Skin necrosis",1,1,1
BR-FRMERIAL-12BR000556,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=617189&_xt=AER&_xf=pdf""> AER </a>",2016-10-21 00:00:00,Animal owner,Brazil,MALE,Dog,Poodle - Standard,Previcox 57 mg - Chewable tablet,"Death, Diarrhoea, Erythematous rash, Lethargy (see also Central nervous system depression in Neurological), Localised oedema (not application site), Tarry or black stool (see also haemorrhagic diarrhoea)",1,1,1
BR-FRMERIAL-12BR000736,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=574740&_xt=AER&_xf=pdf""> AER </a>",2016-03-01 00:00:00,Animal owner,Brazil,FEMALE,Dog,Mastiff,Previcox 57 mg - Chewable tablet,"Ataxia, Blood loss NOS, Death, Pale mucous membrane",1,1,1
BR-FRMERIAL-12BR000737,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=574741&_xt=AER&_xf=pdf""> AER </a>",2016-03-01 00:00:00,Animal owner,Brazil,MALE,Dog,Mastiff,Previcox 57 mg - Chewable tablet,"Ataxia, Blood loss NOS, Death, Pale mucous membrane",1,1,1
BR-FRMERIAL-13BR000739,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=574635&_xt=AER&_xf=pdf""> AER </a>",2016-03-01 00:00:00,Veterinarian,Brazil,FEMALE,Dog,Rottweiler,"Previcox 227 mg - Chewable tablet, Tramadog 50 mg tablet for dogs","Abdominal pain, Death, Emesis (multiple), Fluid in abdomen NOS, Gastric ulcer, Lethargy (see also Central nervous system depression in Neurological)",1,1,1
BR-FRMERIAL-13BR000755,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=574637&_xt=AER&_xf=pdf""> AER </a>",2016-03-01 00:00:00,Animal owner,Brazil,FEMALE,Dog,Mastiff,Previcox 227 mg - Chewable tablet,"Anorexia, Elevated blood urea nitrogen (BUN), Elevated creatinine, Emesis (multiple), Renal failure",1,1,
