Case number,AER form,Received date,Reporter,Country,Gender,Species,Breed,Drug,Reaction,Animals affected,Animals treated,Animals died
AU-ZZELANCORG-AU2016_000647,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=604740&_xt=AER&_xf=pdf""> AER </a>",2016-08-15 00:00:00,Other health care professional,Australia,FEMALE,Dog,Retriever - Labrador,"Onsior 40 mg  - Tablet (dogs), PROPALIN, PROPALIN 40 mg/ml sirup za pse, PROPALIN 5% ΣΙΡΟΠΙ, PROPALIN, 40mg/ml, Sirup, Propalin 40 mg/ml xarope, Propalin Syrup, Propalin siirup, 40 mg/ml suukaudne siirup koertele, Propalin, 50 mg/mL, sirup, za pse, Propalin, 50 mg/ml, oplossing voor oraal gebruik voor honden","Abdominal discomfort, Behavioural disorder NOS, Decreased appetite, Decreased bowel movements, Dry mucous membrane, Elevated alanine aminotransferase (ALT), Elevated creatinine, Elevated serum alkaline phosphatase (ALP), Haematuria, Hyperproteinaemia, Icterus, Lip licking, Loose stool, Nausea, Other abnormal test result NOS, Vomiting, Weight loss",1,1,
AU-ZZELANCORG-AU2016_000709,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=596989&_xt=AER&_xf=pdf""> AER </a>",2016-07-01 00:00:00,Veterinarian,Australia,FEMALE,Dog,Spaniel - King Charles Cavalier,"ANTISEDAN, ANTISEDAN 5 mg/ml SOLUCIÓN INYECTABLE PARA PERROS Y GATOS, ANTISEDAN 5 mg/ml raztopina za injiciranje za pse in mačke, ANTISEDAN 5MG/ML ΕΝΕΣΙΜΟ ΔΙΑΛΥΜΑ, ANTISEDAN SOLUTION INJECTABLE POUR CHIENS ET CHATS, ANTISEDAN, 5 mg/mL, otopina za injekciju, za pse i mačke, Antisedan 5 mg/ 1 ml, roztwór do wstrzykiwań dla psów i kotów, Antisedan 5 mg/ml  Injektionslösung für Hunde und Katzen, Antisedan 5 mg/ml - Injektionslösung für Hunde und Katzen, Antisedan 5 mg/ml Oplossing voor injectie, Antisedan 5 mg/ml Solution injectable, Antisedan 5 mg/ml injekčný roztok pre psy a mačky, Antisedan 5 mg/ml oldatos injekció kutya és macska részére.A.U.V., Antisedan 5 mg/ml solution for injection, Antisedan 5 mg/ml solução injetável para cães e gatos, Antisedan Vet 5 mg/ml injekcinis tirpalas, Antisedan Vet 5 mg/ml šķīdums injekcijām, Antisedan Vet, 5 mg/ml süstelahus, Antisedan Vet. 5 mg/ml injektionsvæske, opløsning, Antisedan vet 5 mg/ml injektioneste, liuos, Antisedan vet. 5 mg/ml Injektionsvätska, lösning, Antisedan vet. 5 mg/ml Stungulyf, lausn Handa hundum og köttum., Antisedan vet. 5 mg/ml injeksjonsvæske, oppløsning, til hund og katt, Antisedan vet., 5 mg/ml, Injektionsvätska, lösning, Antisedan, 5 mg/ml oplossing voor injectie voor honden en katten, Antisedan, 5mg/ml, Injekční roztok, DOMITOR 1 mg/ml raztopina za injiciranje za pse in mačke, DOMITOR 1 mg/ml ενέσιμο διάλυμα για σκύλους και γάτες, DOMITOR 1 mg/ml, soluție injectabilă pentru câini și pisici, DOMITOR, 1 mg/mL, otopina za injekciju za pse i mačke, DOMITOR, 1mg/ml, Injekční roztok, DOMITOR, SOLUTION INJECTABLE, Domitor, Domitor 1 mg/1 ml, roztwór do wstrzykiwań dla psów i kotów, Domitor 1 mg/ml - Injektionslösung für Hunde und Katzen, Domitor 1 mg/ml Oplossing voor injectie, Domitor 1 mg/ml Solution injectable, Domitor 1 mg/ml injekčný roztok, Domitor 1 mg/ml oldatos injekció kutyáknak és macskáknak A.U.V., Domitor 1 mg/ml solution for injection, Domitor 1 mg/ml soluzione iniettabile per cani e gatti, Domitor Vet 1 mg/ml injekcinis tirpalas, Domitor Vet 1 mg/ml šķīdums injekcijām, Domitor Vet, 1 mg/ml süstelahus, Domitor Vet. 1 mg/ml injektionsvæske, opløsning, Domitor vet 1 mg/ml injektioneste, liuos, Domitor vet. 1 mg/ml Injektionsvätska, lösning, Domitor vet. 1 mg/ml injeksjonsvæske, oppløsning til hund og katt, Onsior 10 mg  - Tablet (dogs), АНТИСЕДАН ВЕТ 5 mg/ml инжекционен разтвор, Домитор Вет 1 mg/ml инжекционен разтвор за кучета и котки","Bone and joint disorder NOS, Constipation, Decreased appetite, Diarrhoea, Gait abnormality, General illness, Joint pain NOS, Lethargy (see also Central nervous system depression in Neurological), Malodour, Neutrophilia, Non-regenerative anaemia, Other abnormal test result NOS, Pyrexia, Shaking, Tense abdomen, Vocalisation, Vomiting",1,1,
AU-ZZELANCORG-AU2016_000974,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=610764&_xt=AER&_xf=pdf""> AER </a>",2016-09-20 00:00:00,Veterinarian,Australia,FEMALE,Dog,Rottweiler,"Amoxiclav 200/50 mg Tabletten für Hunde, Amoxiclav 200/50 mg tabletta kutyák és macskák részére A.U.V., Amoxiclav 40/10 mg, Amoxiclav 40/10 mg tabletta kutyák és macskák részére A.U.V., Amoxiclav 400/100 mg, Amoxiclav 400/100 mg tabletta kutyák részére A.U.V., Onsior 40 mg  - Tablet (dogs)","Behavioural disorder NOS, Conjunctivitis, Cough, Dermal mass, Diarrhoea, Elevated creatine-kinase (CK), Elevated lipase, Elevated liver enzymes NOS, Hot spot (pyotraumatic dermatitis), Joint pain NOS, Lethargy (see also Central nervous system depression in Neurological), Licking, Other abnormal test result NOS, Restlessness, Swollen lymph node, Thrombocytopenia, Vomiting, Weight gain, Weight loss",1,1,
AU-ZZELANCORG-AU2016_001115,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=681803&_xt=AER&_xf=pdf""> AER </a>",2016-12-07 00:00:00,Veterinarian,Australia,FEMALE,Dog,Spaniel - King Charles Cavalier,"Onsior 10 mg  - Tablet (dogs), Onsior 20 mg/ml  - Solution for injection (cats and dogs)","Abnormal ultrasound finding, Hepatitis, Hepatopathy, Polydipsia",1,1,
AUS-ZZELANCORG-AU201600109,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=566577&_xt=AER&_xf=pdf""> AER </a>",2016-01-28 00:00:00,Animal owner,Australia,MALE,Dog,Alaskan Malamute,Onsior 40 mg  - Tablet (dogs),"Anxiety, Behavioural disorder NOS, Cognitive disturbance, Death by euthanasia, Vocalisation",1,1,1
BEL-ZZELANCORG-BE201600012,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=574403&_xt=AER&_xf=pdf""> AER </a>",2016-03-01 00:00:00,Veterinarian,Belgium,UNKNOWN,Dog,Terrier - Bull,Onsior 40 mg  - Tablet (dogs),"Death, Decreased body temperature, Digestive tract disorder NOS, Distension of abdomen, Not drinking, Vocalisation, Weakness",1,2,1
CA-ZZELANCORG-CA2016_000378,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=588208&_xt=AER&_xf=pdf""> AER </a>",2016-05-11 00:00:00,Veterinarian,Canada,MALE,Dog,Retriever - Labrador,Onsior 40 mg  - Tablet (dogs),"Abdominal mass, Abnormal radiograph finding, Abnormal ultrasound finding, Anorexia, Bilirubinuria, Dermal mass, Drinking a lot, Elevated liver enzymes NOS, Frequent urination, Isosthenuria, Lethargy (see also Central nervous system depression in Neurological), Vomiting, Weight loss",1,1,
CA-ZZELANCORG-CA2016_000715,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=597448&_xt=AER&_xf=pdf""> AER </a>",2016-07-05 00:00:00,Other health care professional,Canada,MALE,Dog,Shih Tzu,Onsior 20 mg  - Tablet (dogs),"Elevated liver enzymes NOS, Elevated total bilirubin, Lethargy (see also Central nervous system depression in Neurological), Not eating, Vomiting",1,1,
CA-ZZELANCORG-CA2016_000941,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=607613&_xt=AER&_xf=pdf""> AER </a>",2016-08-30 00:00:00,Veterinarian,Canada,UNKNOWN,Dog,Dog (other),Onsior 40 mg  - Tablet (dogs),"Hepatopathy, Lack of efficacy - NOS, Other abnormal test result NOS",1,1,
CA-ZZELANCORG-CA2016_001123,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=681801&_xt=AER&_xf=pdf""> AER </a>",2016-12-07 00:00:00,Other health care professional,Canada,MALE,Dog,Terrier - Airedale,"Onsior 40 mg  - Tablet (dogs), Stronghold 120 mg - Spot-on solution (12% - dogs), Stronghold 15 mg - Spot-on solution (6% - cats and dogs), Stronghold 240 mg - Spot-on solution (12% - dogs), Stronghold 30 mg - Spot-on solution (12% - dogs), Stronghold 360 mg - Spot-on solution (12% - dogs), Stronghold 45 mg - Spot-on solution (6% - cats), Stronghold 60 mg - Spot-on solution (12% - dogs), Stronghold 60 mg - Spot-on solution (6% - cats)","Seizure NOS, Skin lesion NOS, Trauma NOS",1,1,
