Case number,AER form,Received date,Reporter,Country,Gender,Species,Breed,Drug,Reaction,Animals affected,Animals treated,Animals died
AT-UKDECHRAP-2022-00018,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1649039&_xt=AER&_xf=pdf""> AER </a>",2022-01-18 00:00:00,Veterinarian,Austria,MALE,Cat,European,"Carprofelican 50 mg/ml solution for injection for dogs and cats, Dexdomitor 0.1 mg/ml - Solution for injection, Dexdomitor 0.5 mg/ml - Solution for injection, Ketamin 10 % šķīdums injekcijām suņiem un kaķiem, Ketamin 10%, Ketamin 100 mg/ml, Ketamine 10% oplossing voor injectie voor honden en katten, Ketamine 10% pro inj., oplossing voor injectie voor honden en katten, Ketamine 10% šķīdums injekcijām suņiem un kaķiem, Ketamine 10%, oplossing voor injectie voor honden en katten, КЕТАМИН 10 %","Cardiac arrest, Death, Respiratory arrest, Seizure NOS",1,1,1
AT-UKDECHRAP-2022-00104,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1653234&_xt=AER&_xf=pdf""> AER </a>",2022-01-26 00:00:00,Veterinarian,Austria,MALE,Cat,European,"Butomidor 10 mg/ml Injektionslösung für Pferde, Hunde und Katzen, Carprofelican 50 mg/ml solution for injection for dogs and cats, Domitor 1 mg/ml - Injektionslösung für Hunde und Katzen, Ketamin 10 % šķīdums injekcijām suņiem un kaķiem, Ketamin 10%, Ketamin 100 mg/ml, Ketamine 10% oplossing voor injectie voor honden en katten, Ketamine 10% pro inj., oplossing voor injectie voor honden en katten, Ketamine 10% šķīdums injekcijām suņiem un kaķiem, Ketamine 10%, oplossing voor injectie voor honden en katten, КЕТАМИН 10 %","Abnormal pupil light reflex, Dilated pupils, Palpebral disorder NOS, Panting, Respiratory arrest, Seizure NOS, Tachycardia",1,1,
AUT-AUTAGESA-220070,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000049128&_xt=AER&_xf=pdf""> AER </a>",2022-08-24 00:00:00,Animal owner,Austria,MALE,Dog,Bulldog - French,CARPRODYL QUADRI 120 MG CHEWABLE TABLETS FOR DOGS,"Blood in urine, Cardiac arrest, Cystitis, Death, Gastric perforation, Gastroenteritis, Lethargy (see also Central nervous system depression in Neurological), Renal insufficiency, Septicaemia, Vomiting",1,1,1
AUT-DECHRALT-2022-13322,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000083306&_xt=AER&_xf=pdf""> AER </a>",2022-11-01 00:00:00,Veterinarian,Austria,MALE,Cat,European,Carprofelican 50 mg/ml solution for injection for dogs and cats,"Anaphylaxis, Collapse NOS (see also Cardio-vascular and Neurological disorders), Lateral recumbency, Miosis, Quiet",1,1,
BEL-BELFAMHP-2022082,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000000953&_xt=AER&_xf=pdf""> AER </a>",2022-03-29 00:00:00,Other health care professional,Belgium,Unknown,Dog,Unknown,Rimadyl 20 mg Comprimés Appétents 20 mg Tablet,Vomiting,1,1,
BEL-BELFAMHP-2022164,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000016214&_xt=AER&_xf=pdf""> AER </a>",2022-06-23 00:00:00,Other health care professional,Belgium,Unknown,Dog,Unknown,Rimadyl 50 mg Comprimés Appétents 50 mg Tablet,"Bradypnoea, Confusion, Death by euthanasia, Diarrhoea, Shallow breathing, Vomiting, Wobbliness",1,,1
BEL-ZOETISPV-2020-BE-00021,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1667338&_xt=AER&_xf=pdf""> AER </a>",2022-02-08 00:00:00,Veterinarian,Belgium,MALE,Dog,Retriever - Labrador,Rimadyl Palatable Tablets 100 mg,Elevated creatinine,1,1,
BRA-ZOETISPV-2020-BR-00653,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1667401&_xt=AER&_xf=pdf""> AER </a>",2022-02-08 00:00:00,Veterinarian,Brazil,FEMALE,Dog,Dog (other),"Rimadyl vet. 100 mg Tuggtablett, Rimadyl vet. 20 mg Tuggtablett, Rimadyl vet. 50 mg Tuggtablett, Rimadyl vet., 100 mg, Tuggtablett",Angioedema,1,1,
BRA-ZOETISPV-2020-BR-02245,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1673462&_xt=AER&_xf=pdf""> AER </a>",2022-02-09 00:00:00,Animal owner,Brazil,FEMALE,Dog,Lhasa Apso,"Rimadyl vet. 100 mg Tuggtablett, Rimadyl vet. 20 mg Tuggtablett, Rimadyl vet. 50 mg Tuggtablett, Rimadyl vet., 100 mg, Tuggtablett","Appetite loss, Haematemesis",1,1,
BRA-ZOETISPV-2020-BR-02983,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1675194&_xt=AER&_xf=pdf""> AER </a>",2022-02-09 00:00:00,Animal owner,Brazil,FEMALE,Dog,Retriever - Golden,"Rimadyl vet. 100 mg Tuggtablett, Rimadyl vet. 20 mg Tuggtablett, Rimadyl vet. 50 mg Tuggtablett, Rimadyl vet., 100 mg, Tuggtablett","Emesis (multiple), Haematemesis, Inappetence",1,1,
