Case number,AER form,Received date,Reporter,Country,Gender,Species,Breed,Drug,Reaction,Animals affected,Animals treated,Animals died
AUS-ZZELANCO-AU2021_000332,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000047783&_xt=AER&_xf=pdf""> AER </a>",2022-08-22 00:00:00,Veterinarian,Australia,MALE,Dog,Rottweiler,Galliprant 100 mg - Tablet,"Drooling, Lack of efficacy - NOS, Lip smacking, Nausea",1,1,
AUS-ZZELANCO-AU2022_000106,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1695215&_xt=AER&_xf=pdf""> AER </a>",2022-02-15 00:00:00,Veterinarian,Australia,MALE,Dog,Bulldog,Galliprant 60 mg - Tablet,"Diarrhoea, Vomiting",1,1,
AUS-ZZELANCO-AU2022_000138,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1697533&_xt=AER&_xf=pdf""> AER </a>",2022-02-18 00:00:00,Other health care professional,Australia,FEMALE,Dog,Retriever - Labrador,"Anarthron 100 mg/ml Solution for Injection, CEPHALEXIN 180 mg/ml suspenzija za injiciranje, Cartrophen Vet 100 mg/ml Solution for Injection., Cartrophen Vet. 100 mg/ml injektionsvæske, opløsning, Cartrophen vet, Cartrophen vet. 100 mg/ml Injektionsvätska, lösning, Cartrophen vet. 100 mg/ml injektioneste, liuos, Galliprant 60 mg - Tablet","Blood loss NOS, Loose stool, Not eating, Sickness, Vomiting",1,1,
AUS-ZZELANCO-AU2022_000216,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1707659&_xt=AER&_xf=pdf""> AER </a>",2022-03-15 00:00:00,Veterinarian,Australia,MALE,Dog,Terrier - Bull - Staffordshire,Galliprant 60 mg - Tablet,Lack of efficacy - NOS,1,1,
AUS-ZZELANCO-AU2022_000342,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000001579&_xt=AER&_xf=pdf""> AER </a>",2022-04-20 00:00:00,Other,Australia,MALE,Dog,"Northern Inuit, Retriever - Golden","Anarthron 100 mg/ml Solution for Injection, Cartrophen Vet 100 mg/ml Solution for Injection., Cartrophen Vet. 100 mg/ml injektionsvæske, opløsning, Cartrophen vet, Cartrophen vet. 100 mg/ml Injektionsvätska, lösning, Cartrophen vet. 100 mg/ml injektioneste, liuos, Galliprant 60 mg - Tablet","Blood in faeces, Blood in vomit, Inappetence, Lethargy (see also Central nervous system depression in Neurological), Loose stool, Mucous stool, Vomiting",1,1,
AUS-ZZELANCO-AU2022_000379,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000003331&_xt=AER&_xf=pdf""> AER </a>",2022-05-05 00:00:00,Veterinarian,Australia,FEMALE,Dog,Bichon Frise,Galliprant 20 mg - Tablet,"Bloody diarrhoea, Elevated blood urea nitrogen (BUN), Elevated liver enzymes NOS, Haemorrhagic gastroenteritis, Inappetence, Mucous stool, Skin lesion NOS",1,1,
AUS-ZZELANCO-AU2022_000387,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000003249&_xt=AER&_xf=pdf""> AER </a>",2022-05-04 00:00:00,Animal owner,Australia,MALE,Dog,Shepherd Dog - German,Galliprant 100 mg - Tablet,"Nausea, Pica NOS",1,1,
AUS-ZZELANCO-AU2022_000388,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000003250&_xt=AER&_xf=pdf""> AER </a>",2022-05-04 00:00:00,Animal owner,Australia,FEMALE,Dog,Shepherd Dog - German,Galliprant 60 mg - Tablet,Lack of efficacy - NOS,1,1,
AUS-ZZELANCO-AU2022_000412,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1735404&_xt=AER&_xf=pdf""> AER </a>",2022-05-12 00:00:00,Veterinarian,Australia,FEMALE,Dog,Dog (other),Galliprant 100 mg - Tablet,"Anaemia NOS, Elevated serum alkaline phosphatase (ALP), Pale mucous membrane, Palpable mass NOS, Panting",1,1,
AUS-ZZELANCO-AU2022_000416,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1737543&_xt=AER&_xf=pdf""> AER </a>",2022-05-17 00:00:00,Veterinarian,Australia,FEMALE,Dog,Collie - Border,Galliprant 60 mg - Tablet,Diarrhoea,1,1,
