Case number,AER form,Received date,Reporter,Country,Gender,Species,Breed,Drug,Reaction,Animals affected,Animals treated,Animals died
AND-ZOETISPV-2024-AD-00002,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000328137&_xt=AER&_xf=pdf""> AER </a>",2024-03-25 00:00:00,Veterinarian,Andorra,UNKNOWN,Dog,Dog (unknown),"Librela 10 mg - Solution for injection, Librela 15 mg - Solution for injection, Librela 20 mg - Solution for injection, Librela 30 mg - Solution for injection, Librela 5 mg - Solution for injection",Licking,1,1,
AND-ZOETISPV-2024-AD-00003,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000328080&_xt=AER&_xf=pdf""> AER </a>",2024-03-25 00:00:00,Veterinarian,Andorra,UNKNOWN,Dog,Dog (unknown),"Librela 10 mg - Solution for injection, Librela 15 mg - Solution for injection, Librela 20 mg - Solution for injection, Librela 30 mg - Solution for injection, Librela 5 mg - Solution for injection","Lack of efficacy - NOS, Lameness",1,1,
AND-ZOETISPV-2024-AD-00004,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000328077&_xt=AER&_xf=pdf""> AER </a>",2024-03-25 00:00:00,Veterinarian,Andorra,UNKNOWN,Dog,Dog (unknown),"Librela 10 mg - Solution for injection, Librela 15 mg - Solution for injection, Librela 20 mg - Solution for injection, Librela 30 mg - Solution for injection, Librela 5 mg - Solution for injection",Licking,1,1,
AUS-BIAHPV1P-23AU000809,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000323878&_xt=AER&_xf=pdf""> AER </a>",2024-03-15 00:00:00,Other,Australia,MALE,Dog,Terrier - Jack Russell,"Librela 10 mg - Solution for injection, Librela 15 mg - Solution for injection, Librela 20 mg - Solution for injection, Librela 30 mg - Solution for injection, Librela 5 mg - Solution for injection, Metacam 0.5 mg/ml - Oral suspension (cats, guinea pigs), Metacam 0.5 mg/ml - Oral suspension (dogs), Metacam 1.5 mg/ml - Oral suspension (dogs), Metacam 15 mg/ml - Oral suspension (horses), Metacam 15 mg/ml - Oral suspension (pigs)","Distension of abdomen, Elevated blood urea nitrogen (BUN), Elevated creatinine, Hypercalcaemia, Hyperphosphataemia, Inappetence, Local swelling (not application site), Off colour, Polydipsia, Polyuria",1,1,
AUS-BIAHPV1P-23AU001297,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000297179&_xt=AER&_xf=pdf""> AER </a>",2024-01-22 00:00:00,Other,Australia,FEMALE,Dog,Pointing Dog - German Short-haired,"Librela 15 mg - Solution for injection, Pexion 100 mg  - Tablet","Cough, Death by euthanasia, Elevated alanine aminotransferase (ALT), Haematuria, Hypoglycaemia, Hyposthenuria, Other abnormal test result NOS, Panting, Polycythaemia, Polydipsia, Polyuria, Proteinuria, Urinary incontinence",1,1,1
AUS-BIAHPV1P-24AU000248,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000312635&_xt=AER&_xf=pdf""> AER </a>",2024-02-22 00:00:00,Veterinarian,Australia,FEMALE,Dog,Greyhound,"Librela 30 mg - Solution for injection, Vetmedin 5 mg Kautabletten für Hunde","Erythema (for urticaria see Immune SOC), Incoordination, Limb non-weight bearing, Panting, Restlessness, Salivary staining, Urinary incontinence",1,1,
AUS-BIAHPV1P-24AU000573,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000352612&_xt=AER&_xf=pdf""> AER </a>",2024-05-06 00:00:00,Other,Australia,FEMALE,Dog,Shih Tzu,"Anarthron 100 mg/ml Solution for Injection, Cartrophen Vet 100 mg/ml Solution for Injection., Cartrophen Vet. 100 mg/ml injektionsvæske, opløsning, Cartrophen vet, Cartrophen vet. 100 mg/ml Injektionsvätska, lösning, Cartrophen vet. 100 mg/ml injektioneste, liuos, Librela 10 mg - Solution for injection, Librela 15 mg - Solution for injection, Librela 20 mg - Solution for injection, Librela 30 mg - Solution for injection, Librela 5 mg - Solution for injection, Pexion 100 mg  - Tablet","Ecchymosis, Elevated globulins, Elevated serum alkaline phosphatase (ALP), Eosinopenia, Petechiae NOS, Thrombocytopenia, Weight loss",1,1,
AUS-BIAHPV1P-24AU001083,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000416963&_xt=AER&_xf=pdf""> AER </a>",2024-08-25 00:00:00,Other,Australia,MALE,Dog,Siberian Husky,"Librela 10 mg - Solution for injection, Librela 15 mg - Solution for injection, Librela 20 mg - Solution for injection, Librela 30 mg - Solution for injection, Librela 5 mg - Solution for injection, Metacam 0.5 mg/ml - Oral suspension (cats, guinea pigs), Metacam 0.5 mg/ml - Oral suspension (dogs), Metacam 1.5 mg/ml - Oral suspension (dogs), Metacam 15 mg/ml - Oral suspension (horses), Metacam 15 mg/ml - Oral suspension (pigs)","Abnormal menace reflex test, Abnormal pupil light reflex, Blindness, Inappetence, Mydriasis, Vomiting",1,1,
AUS-DECHRALT-2024-14566,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000427929&_xt=AER&_xf=pdf""> AER </a>",2024-09-13 00:00:00,Other health care professional,Australia,FEMALE,Dog,"Poodle - Standard, Spaniel (unspecified)","Librela 10 mg - Solution for injection, Librela 15 mg - Solution for injection, Librela 20 mg - Solution for injection, Librela 30 mg - Solution for injection, Librela 5 mg - Solution for injection, Osurnia 10 mg/10 mg/1 mg - Ear gel","Lack of efficacy - NOS, Scratching",1,1,
AUS-DFDBA0E3-100028937-AE_APM001.43,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000399964&_xt=AER&_xf=pdf""> AER </a>",2024-07-25 00:00:00,Veterinarian,Australia,FEMALE,Dog,Shih Tzu,"Cartrophen vet. 100 mg/ml Injektionsvätska, lösning, Librela 5 mg - Solution for injection","Ecchymosis, Elevated globulins, Eosinopenia, Thrombocytopenia, Weight loss",1,1,
AUS-DFDBA0E3-ORV100028937-AE_APM001.34/S-24-68525-V,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000399840&_xt=AER&_xf=pdf""> AER </a>",2024-07-25 00:00:00,Veterinarian,Australia,Unknown,Dog,Bulldog,"Cartrophen vet. 100 mg/ml Injektionsvätska, lösning, Librela 15 mg - Solution for injection, Rycarfa 100 mg tablets for dogs","Ataxia, Cardiac enlargement, Irregular breathing, Knuckling, Pain NOS",1,1,
AUS-DFDBA0E3-ORV100028937-AE_APM001.36,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000399841&_xt=AER&_xf=pdf""> AER </a>",2024-07-25 00:00:00,Veterinarian,Australia,FEMALE,Dog,Rottweiler,"Cartrophen vet. 100 mg/ml Injektionsvätska, lösning, Librela 10 mg - Solution for injection, Librela 15 mg - Solution for injection, Librela 20 mg - Solution for injection, Librela 30 mg - Solution for injection, Librela 5 mg - Solution for injection, PARACETAMOL S.P.","Ataxia, Collapse of leg, Elevated liver enzymes NOS, Hypercalcaemia, Lethargy (see also Central nervous system depression in Neurological), Pain NOS, Spondylosis",1,1,
AUS-DFDBAOE3-ORV100028937-AE_APM001.30,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000399206&_xt=AER&_xf=pdf""> AER </a>",2024-07-24 00:00:00,Other,Australia,FEMALE,Dog,Retriever - Labrador,"Cartrophen vet. 100 mg/ml Injektionsvätska, lösning, Librela 20 mg - Solution for injection",Death,1,1,1
AUS-DFDBAOE3-ORV100028937-AE_APM001.31,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000399207&_xt=AER&_xf=pdf""> AER </a>",2024-07-24 00:00:00,Other,Australia,FEMALE,Dog,Poodle (unspecified),"Cartrophen vet. 100 mg/ml Injektionsvätska, lösning, Librela 10 mg - Solution for injection",Death,1,1,1
