Case number,AER form,Received date,Reporter,Country,Gender,Species,Breed,Drug,Reaction,Animals affected,Animals treated,Animals died
CZE-BIAHPV1P-25CZ000017,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000575160&_xt=AER&_xf=pdf""> AER </a>",2025-06-20 00:00:00,Veterinarian,Czech Republic,FEMALE,Cat,European,"Bonqat 50 mg/ml - Oral solution, DRONTAL (230+20)MG/TAB ΕΠΙΚΑΛΥΜΜΕΝΟ ΔΙΣΚΙΟ, DRONTAL δισκία εμβονικής πυραντέλης και πραζικουαντέλης για γάτα, DRONTAL, tabletės, DRONTAL-COMPRESSE PER GATTI, Drontal 230 mg/20 mg apvalkotās tabletes kaķiem, Drontal 230 mg/20mg apvalkotās tabletes kaķiem, Drontal 230/20 mg Filmtabletten zum Eingeben für Katzen, Drontal Oral Suspension for Puppies, Drontal Vet. 20 + 230 mg filmovertrukne tabletter, Drontal comprimidos para gatos, Drontal tablety, Drontal vet. 230 mg + 20 mg filmuhúðaðar töflur handa köttum, Drontal vet. 230 mg/20 mg Filmdragerad tablett, Drontal vet. 230 mg/20 mg filmdrasjerte tabletter til katt, Drontal vet. 230 mg/20 mg tabletti, kalvopäällysteinen, Drontal, 230 mg /20 mg, tabletki powlekane dla kotów, Drontal, 230 mg/20 mg õhukese polümeerikattega tabletid kassidele, Drontal, Tableta, Drontal, film coated tablet, Senvelgo 15 mg/ml - Oral solution","Blood in urine, Loss of condition, Not himself/herself, Not sleeping, Polydipsia, Polyuria, Stranguria, Systemic disorder NOS, Tiredness",1,1,
DEU-DEUBVLVP-2025-PVZ6-0006,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000518741&_xt=AER&_xf=pdf""> AER </a>",2025-03-11 00:00:00,Veterinarian,Germany,MALE,Cat,European,"Bonqat 50 mg/ml - Oral solution, Metacam 0.5 mg/ml - Oral suspension (cats, guinea pigs), Metacam 0.5 mg/ml - Oral suspension (dogs), Metacam 1 mg - Chewable tablet (dogs), Metacam 1.5 mg/ml - Oral suspension (dogs), Metacam 15 mg/ml - Oral suspension (horses), Metacam 15 mg/ml - Oral suspension (pigs), Metacam 2 mg/ml - Solution for injection (cats), Metacam 2.5 mg - Chewable tablet (dogs), Metacam 20 mg/ml - Solution for injection (cattle, pigs, horses), Metacam 40 mg/ml - Solution for injection (cattle, horses), Metacam 5 mg/ml - Solution for injection (cats, dogs), Metacam 5 mg/ml - Solution for injection (cattle, pigs), Metacam 5 mg/ml - Solution for injection (dogs)","Glaucoma, Increased intra-ocular pressure",1,1,
DEU-OPAHPROD-DE20240015,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000490667&_xt=AER&_xf=pdf""> AER </a>",2025-01-10 00:00:00,Veterinarian,Germany,UNKNOWN,Cat,Cat (unknown),Bonqat 50 mg/ml - Oral solution,"Lack of efficacy - NOS, Product defect NOS",2,2,
DEU-OPAHPROD-DE20250008,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000518006&_xt=AER&_xf=pdf""> AER </a>",2025-03-10 00:00:00,Veterinarian,Germany,MALE,Cat,European,"Bonqat 50 mg/ml - Oral solution, Solensia 7 mg/ml - Solution for injection, Thyronorm 5 mg/ml Oral Solution for Cats","Aggression, Hyperactivity, Lack of efficacy - NOS",1,1,
DEU-OPAHPROD-DE20250015,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000531586&_xt=AER&_xf=pdf""> AER </a>",2025-04-04 00:00:00,Veterinarian,Germany,MALE,Cat,Cat (unknown),Bonqat 50 mg/ml - Oral solution,"Collapse (see also Cardio-vascular and Systemic disorders), Drowsiness - systemic disorder, Partial lack of efficacy, Swallowing difficult",1,1,
DEU-OPAHPROD-DE20250027,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000554577&_xt=AER&_xf=pdf""> AER </a>",2025-05-16 00:00:00,Veterinarian,Germany,MALE,Cat,Domestic (unspecified),Bonqat 50 mg/ml - Oral solution,"Ataxia, Liver tumour, Reduced responses, Unsteady gait",1,1,
DEU-OPAHPROD-DE20250033,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000570604&_xt=AER&_xf=pdf""> AER </a>",2025-06-12 00:00:00,Veterinarian,Germany,FEMALE,Cat,European,Bonqat 50 mg/ml - Oral solution,"Abnormal menace reflex test, Abnormal posture NOS, Abnormal ultrasound finding, Anorexia, Anuria, Ataxia, Balance problem, Behavioural disorder NOS, Bloated, Clenched jaw, Constipation, Death by euthanasia, Decreased blood urea nitrogen (BUN) or creatinine, Disorientation, Elevated amylase, Elevated mean corpuscular haemoglobin concentration (MCHC), Elevated triglyceride, Enlarged lymph node (localised), Gait abnormality, Hypersalivation, Lethargy (see also Central nervous system depression in Neurological), Neurological symptoms NOS, Pain NOS, Restlessness, Sedation, Tense abdomen, Tiredness, Unable to jump, Unwell, Weight loss",1,1,1
DEU-OPAHPROD-DE20250035,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000585935&_xt=AER&_xf=pdf""> AER </a>",2025-07-09 00:00:00,Animal owner,Germany,MALE,Cat,Maine Coon,Bonqat 50 mg/ml - Oral solution,"Aggression, Apathy, Decreased body temperature, Decreased heart rate, Fear/fearful, Lethargy (see also Central nervous system depression in Neurological), Loss of consciousness, Not drinking, Not eating, Sleepiness - systemic disorder, Unresponsive to stimuli, Weakness",1,1,
DEU-OPAHPROD-DE20250037,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000611241&_xt=AER&_xf=pdf""> AER </a>",2025-08-26 00:00:00,Animal owner,Germany,FEMALE,Cat,British Blue,Bonqat 50 mg/ml - Oral solution,"Aggression, Lack of efficacy - NOS, Limb weakness, Sedation",1,1,
DEU-OPAHPROD-DE20250038,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000615297&_xt=AER&_xf=pdf""> AER </a>",2025-09-03 00:00:00,Veterinarian,Germany,MIXED,Cat,Cat (unknown),Bonqat 50 mg/ml - Oral solution,Lack of efficacy - NOS,4,4,
