Case number,AER form,Received date,Reporter,Country,Gender,Species,Breed,Drug,Reaction,Animals affected,Animals treated,Animals died
AT-BASGAGESV-120017,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=305807&_xt=AER&_xf=pdf""> AER </a>",2012-04-16 00:00:00,Veterinarian,Austria,FEMALE,Dog,Pug,Previcox 57 mg - Chewable tablet,"Death, Gastric ulcer, Haematemesis, Haemothorax",1,1,1
AU-FRMERIAL-12AU000030,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=296881&_xt=AER&_xf=pdf""> AER </a>",2012-02-15 00:00:00,Veterinarian,Australia,MALE,Dog,Collie - Border,Previcox 227 mg - Chewable tablet,"Ataxia, Circling - neurological disorder (see also Behavioural disorders), Death by euthanasia, Depression, Flatulence, Loose stool, Seizure NOS, Vomiting",1,1,1
AU-FRMERIAL-12AU000124,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=327323&_xt=AER&_xf=pdf""> AER </a>",2012-09-27 00:00:00,Veterinarian,Australia,FEMALE,Dog,Boxer (German Boxer),Previcox 227 mg - Chewable tablet,"Death by euthanasia, Elevated blood urea nitrogen (BUN), Elevated creatinine, Not eating, Renal failure, Uncoded sign, Vomiting",1,1,1
AU-NLINTVINT-2012-AU-00136,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=313787&_xt=AER&_xf=pdf""> AER </a>",2012-06-08 00:00:00,Other health care professional,Australia,MALE,Dog,Pug,"Previcox 227 mg - Chewable tablet, Previcox 57 mg - Chewable tablet, Previcox 8.2 mg/g - Oral paste, TRIBRISSEN 40% premix na medikáciu krmiva pre ošípané a ryby","Inappetence, Pancreatitis NOS, Uncoded sign, Vomiting",1,1,
BE-FRMERIAL-12BE000022,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=315416&_xt=AER&_xf=pdf""> AER </a>",2012-06-20 00:00:00,Veterinarian,Belgium,FEMALE,Dog,Cattle Dog - Flanders (Bouvier),Previcox 227 mg - Chewable tablet,"Apathy, Hypothermia, Regenerative anaemia, Vomiting",1,1,1
BR-FRMERIAL-12BR000042,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=300326&_xt=AER&_xf=pdf""> AER </a>",2012-03-09 00:00:00,Veterinarian,Brazil,MALE,Dog,Dog (other),Previcox 227 mg - Chewable tablet,"Ataxia, Uncoded sign",1,1,
CA-FRMERIAL-11CA001835,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=291393&_xt=AER&_xf=pdf""> AER </a>",2012-01-09 00:00:00,Veterinarian,Canada,MALE,Dog,Sheepdog - Shetland,Previcox 227 mg - Chewable tablet,"Elevated blood urea nitrogen (BUN), Elevated creatinine, Lameness, Urine abnormalities NOS, Vomiting",1,1,
CA-FRMERIAL-12CA000001,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=292187&_xt=AER&_xf=pdf""> AER </a>",2012-01-16 00:00:00,Veterinarian,Canada,FEMALE,Dog,Retriever - Labrador,Previcox 227 mg - Chewable tablet,"Epilepsy, Head bobbing, Muscle tremor",1,1,
CA-FRMERIAL-12CA000405,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=305809&_xt=AER&_xf=pdf""> AER </a>",2012-04-16 00:00:00,Veterinarian,Canada,MALE,Dog,Doberman Pinscher,Previcox 227 mg - Chewable tablet,"Abdominal pain, Duodenal ulcer",1,1,
CA-FRMERIAL-12CA000602,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=311283&_xt=AER&_xf=pdf""> AER </a>",2012-05-23 00:00:00,Veterinarian,Canada,MALE,Dog,Retriever - Labrador,Previcox 227 mg - Chewable tablet,"Death by euthanasia, Elevated alanine aminotransferase (ALT), Elevated liver enzymes NOS, Elevated total bilirubin, Not eating",1,1,1
CA-FRMERIAL-12CA000667,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=317062&_xt=AER&_xf=pdf""> AER </a>",2012-06-29 00:00:00,Other health care professional,Canada,MALE,Dog,Dog (other),Previcox 57 mg - Chewable tablet,"Abdominal cavity disorder NOS, Anorexia, Cholelithiasis, Coagulopathy, Death by euthanasia, Digestive tract haemorrhage NOS, Duodenal ulcer, Hepatomegaly, Hepatopathy, Hypoglycaemia, Lethargy (see also Central nervous system depression in Neurological), Liver failure, Pleural effusion, Steatitis, Tachypnoea, Vomiting",1,1,1
CA-FRMERIAL-12CA000851,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=316257&_xt=AER&_xf=pdf""> AER </a>",2012-06-25 00:00:00,Veterinarian,Canada,MALE,Dog,Rottweiler,Previcox 227 mg - Chewable tablet,"Anaemia NOS, Diarrhoea, Haemoglobinuria, Hypoproteinaemia, Lethargy (see also Central nervous system depression in Neurological), Melaena, Neutrophilia, Thrombocytopenia, Uncoded sign, Vomiting",1,1,
CA-FRMERIAL-12CA001151,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=321631&_xt=AER&_xf=pdf""> AER </a>",2012-08-10 00:00:00,Other health care professional,Canada,FEMALE,Dog,Poodle - Standard,"Previcox 227 mg - Chewable tablet, Tramadog 50 mg tablet for dogs","Death by euthanasia, Dry mucous membrane, Dullness, Elevated alanine aminotransferase (ALT), Elevated aspartate aminotransferase (AST), Elevated creatinine, Elevated liver enzymes NOS, Elevated total bilirubin, Gall bladder & bile duct disorder NOS, Hepatic necrosis, Hyperphosphataemia, Hypoglycaemia, Hypoproteinaemia, Intestinal haemorrhage, Jaundice, Lateral recumbency, Lethargy (see also Central nervous system depression in Neurological), Liver failure, Lymphopenia, Melaena, Necrotizing pancreatitis, Neutrophilia, Proteinuria, Pulmonary oedema, Red blood cell disorder, Seizure NOS, Uncoded sign, Vomiting, Weakness",1,1,1
CA-FRMERIAL-12CA001593,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=331707&_xt=AER&_xf=pdf""> AER </a>",2012-11-02 00:00:00,Veterinarian,Canada,MALE,Dog,Dog (other),"Previcox 227 mg - Chewable tablet, АМПИЦИЛИН шприц-канюли","Death by euthanasia, Elevated creatinine, Glucosuria, Hyperglycaemia, Hyperphosphataemia, Hypoalbuminaemia, Hypothermia, Lethargy (see also Central nervous system depression in Neurological), Lymphopenia, Pancreatitis NOS, Proteinuria, Uncoded sign, Vomiting",1,1,1
DE-BVL-2012-3694,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=320969&_xt=AER&_xf=pdf""> AER </a>",2012-08-02 00:00:00,Veterinarian,Germany,FEMALE,Dog,Schnauzer - Giant,"Easotic 1.11 mg/ml + 1505 IU/ml + 15.1 mg/ml - Ear drops, suspension, Incurin 1 mg - Tablet, Previcox 227 mg - Chewable tablet, Vetmedin 5 mg Kautabletten für Hunde","Diarrhoea, Retching",1,1,
DE-MER-2012-2705,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=303888&_xt=AER&_xf=pdf""> AER </a>",2012-04-04 00:00:00,Veterinarian,Germany,MALE,Dog,Mountain Dog - Bernese,Previcox 227 mg - Chewable tablet,"Anorexia, Apathy, Elevated renal parameters, Polydipsia, Polyuria, Renal insufficiency",1,1,1
