Case number,AER form,Received date,Reporter,Country,Gender,Species,Breed,Drug,Reaction,Animals affected,Animals treated,Animals died
AU-NAH-AU201500203,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=453773&_xt=AER&_xf=pdf""> AER </a>",2015-05-11 00:00:00,Veterinarian,Australia,UNKNOWN,Dog,Dog (other),"Convenia 80 mg/ml  - Powder and solvent for solution for injection, Onsior 20 mg/ml  - Solution for injection (cats and dogs)",Found dead,1,1,1
CA-DEBIAHP-2015CA00105,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=436281&_xt=AER&_xf=pdf""> AER </a>",2015-03-12 00:00:00,Veterinarian,Canada,FEMALE,Dog,Retriever - Labrador,"ALFAXAN 10 mg/ml solution for injection for dogs and cats, Dexdomitor 0.1 mg/ml - Solution for injection, Dexdomitor 0.5 mg/ml - Solution for injection, Metacam 0.5 mg/ml - Oral suspension (dogs), Onsior 10 mg  - Tablet (dogs), Onsior 20 mg  - Tablet (dogs), Onsior 20 mg/ml  - Solution for injection (cats and dogs), Onsior 40 mg  - Tablet (dogs), Onsior 5 mg  - Tablet (dogs), Onsior 6 mg  - Tablet (cats), Torbugesic 10 mg/ml Solution for Injection, Torbugesic Vet 10 mg/ml solution injectable pour chevaux, chiens et chats, Torbugesic Vet. 10 mg/ml injektionsvæske, opløsning, Torbuphanol Vet 10 mg/ml solution for injection for injection for horses, dogs and cats, Tramadog 50 mg tablet for dogs","Anaemia NOS, Anorexia, Depression, Gastric perforation, Gastric ulcer, Peritonitis, Vomiting",1,1,
CA-NAH-CA201500196,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=440970&_xt=AER&_xf=pdf""> AER </a>",2015-04-08 00:00:00,Veterinarian,Canada,FEMALE,Dog,Shih Tzu,"ANTISEDAN, ANTISEDAN 5 mg/ml SOLUCIÓN INYECTABLE PARA PERROS Y GATOS, ANTISEDAN 5 mg/ml raztopina za injiciranje za pse in mačke, ANTISEDAN 5MG/ML ΕΝΕΣΙΜΟ ΔΙΑΛΥΜΑ, ANTISEDAN SOLUTION INJECTABLE POUR CHIENS ET CHATS, ANTISEDAN, 5 mg/mL, otopina za injekciju, za pse i mačke, Antisedan 5 mg/ 1 ml, roztwór do wstrzykiwań dla psów i kotów, Antisedan 5 mg/ml  Injektionslösung für Hunde und Katzen, Antisedan 5 mg/ml - Injektionslösung für Hunde und Katzen, Antisedan 5 mg/ml Oplossing voor injectie, Antisedan 5 mg/ml Solution injectable, Antisedan 5 mg/ml injekčný roztok pre psy a mačky, Antisedan 5 mg/ml oldatos injekció kutya és macska részére.A.U.V., Antisedan 5 mg/ml solution for injection, Antisedan 5 mg/ml solução injetável para cães e gatos, Antisedan Vet 5 mg/ml injekcinis tirpalas, Antisedan Vet 5 mg/ml šķīdums injekcijām, Antisedan Vet, 5 mg/ml süstelahus, Antisedan Vet. 5 mg/ml injektionsvæske, opløsning, Antisedan vet 5 mg/ml injektioneste, liuos, Antisedan vet. 5 mg/ml Injektionsvätska, lösning, Antisedan vet. 5 mg/ml Stungulyf, lausn Handa hundum og köttum., Antisedan vet. 5 mg/ml injeksjonsvæske, oppløsning, til hund og katt, Antisedan vet., 5 mg/ml, Injektionsvätska, lösning, Antisedan, 5 mg/ml oplossing voor injectie voor honden en katten, Antisedan, 5mg/ml, Injekční roztok, Dexdomitor 0.1 mg/ml - Solution for injection, Dexdomitor 0.5 mg/ml - Solution for injection, Fuxien vet 1000 mg/g inhalaatiohöyry, neste, ISOFLURANE-Vet 1000 mg/g liquido per inalazione per cani e gatti, ISOFLURIN 1000mg/g ΥΓΡΟ ΓΙΑ ΕΙΣΠΝΕΟΜΕΝΟΥΣ ΑΤΜΟΥΣ, Isoflurane 100% Inhalation Vapour, Liquid, Isoflurane 1000 mg/g Inhalation Vapour, liquid., Onsior 20 mg/ml  - Solution for injection (cats and dogs), SYNULOX (200+50)MG/TAB ΔΙΣΚΙΟ, SYNULOX (40+10)MG/TAB ΔΙΣΚΙΟ, SYNULOX 140 mg/ml + 35 mg/ml suspensión inyectable, SYNULOX 200 mg/50 mg tablety pre psy a mačky, SYNULOX 200/50 mg COMPRIMIDOS APETITOSOS PARA PERROS, SYNULOX 250 COMPRIMES POUR CHIENS, SYNULOX 250 mg, SYNULOX 250 mg kramtomosios tabletės šunims ir katėms, SYNULOX 250 mg tablete za pse in mačke, SYNULOX 250mg, δισκία για σκύλους και γάτες, SYNULOX 40 mg/10 mg tablety pre psy a mačky, SYNULOX 40 mg/ml + 10 mg/ml POLVO PARA GOTAS ORALES EN SUSPENSION, SYNULOX 40/10 MG COMPRIMIDOS APETITOSOS PARA PERROS Y GATOS, SYNULOX 400 mg/100 mg tablety pre psy, SYNULOX 400/100 mg COMPRIMIDOS APETITOSOS PARA PERROS, SYNULOX 50 COMPRIMES POUR CHIENS ET CHATS, SYNULOX 50 mg, SYNULOX 50 mg kramtomosios tabletės šunims ir katėms, SYNULOX 50 mg tablete za pse in mačke, SYNULOX 500 COMPRIMES POUR CHIENS, SYNULOX 500 mg kramtomosios tabletės šunims, SYNULOX 500 mg tablete za pse, SYNULOX 500 mg, kramtomosios tabletės šunims, SYNULOX 500MG/TAB ΔΙΣΚΙΟ, SYNULOX 50mg, δισκία για σκύλους και γάτες, SYNULOX OGIVETTES POUR VEAUX, SYNULOX SUSPENSION INJECTABLE POUR BOVINS, SYNULOX VET 140 mg/ml injektioneste, suspensio koiralle, kissalle ja sialle, SYNULOX suspensão injetável para suínos, bovinos, cães e gatos, SYNULOX vet 200 mg/50 mg tabletti, koiralle ja kissalle, SYNULOX vet 40 mg/10 mg tabletti, koiralle ja kissalle, SYNULOX vet 400 mg/100 mg tabletti, koiralle, SYNULOX, 400/100mg, Tableta, Synulox 250 mg Comprimés Appétents, Synulox 250 mg Smakelijke tabletten, Synulox 250 mg tabletes suņiem un kaķiem, Synulox 250 mg, tabletid koertele ja kassidele, Synulox 250 mg, таблетки за кучета и котки, Synulox 250mg (200 mg/50 mg)  Tabletten für Hunde, Synulox 50 mg Comprimés Appétents, Synulox 50 mg Smakelijke Tabletten, Synulox 50 mg tabletes suņiem un kaķiem, Synulox 50 mg, tabletid koertele ja kassidele, Synulox 50 mg, таблетки за кучета и котки, Synulox 500 mg Bolus 400 mg - 100 mg Omhulde tablet, Synulox 500 mg Comprimés Appétents, Synulox 500 mg Smakelijke Tabletten, Synulox 500 mg tabletes suņiem, Synulox 500 mg, tabletid koertele, Synulox 500mg (400 mg/100 mg) Tabletten für Hunde, Synulox 50mg (40 mg/10 mg) Tabletten für Hunde und Katzen, Synulox Bolus 500 mg, 400 mg + 100 mg comprimés enrobés pour veaux, Synulox","Anorexia, Bloody diarrhoea, Dehydration, Elevated blood urea nitrogen (BUN), Elevated creatinine, Emesis, Generalised weakness, Haemorrhage NOS, Hyperphosphataemia, Leukocytosis NOS, Neutrophilia, Other abnormal test result NOS, Pale mucous membrane, Renal insufficiency, Vasculitis",1,1,
CA-NAH-CA201500564,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=451419&_xt=AER&_xf=pdf""> AER </a>",2015-05-05 00:00:00,Other health care professional,Canada,FEMALE,Dog,Terrier - Boston,"ACEPROMAZINE 10%/AGROSEED CANDILIDIS ενέσιμο διάλυμα 10 mg/ml για σκύλο και γάτα, Fuxien vet 1000 mg/g inhalaatiohöyry, neste, ISOFLURANE-Vet 1000 mg/g liquido per inalazione per cani e gatti, ISOFLURIN 1000mg/g ΥΓΡΟ ΓΙΑ ΕΙΣΠΝΕΟΜΕΝΟΥΣ ΑΤΜΟΥΣ, Isoflurane 100% Inhalation Vapour, Liquid, Isoflurane 1000 mg/g Inhalation Vapour, liquid., Onsior 20 mg/ml  - Solution for injection (cats and dogs), Onsior 5 mg  - Tablet (dogs)","Abdominal cavity haemorrhage, Bruising, Collapse (see also Cardio-vascular and Systemic disorders), Death, Generalised weakness, Haemorrhage NOS, Hypothermia, Other abnormal test result NOS, Pale mucous membrane",1,1,1
CA-NAH-CA201500574,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=499840&_xt=AER&_xf=pdf""> AER </a>",2015-08-14 00:00:00,Veterinarian,Canada,MALE,Dog,Mastiff,Onsior 40 mg  - Tablet (dogs),"Anorexia, Decreased urine concentration, Diarrhoea, Elevated alanine aminotransferase (ALT), Elevated serum alkaline phosphatase (ALP), Elevated total bilirubin, Haematuria, Hepatitis, Other abnormal test result NOS, Polydipsia, Polyuria, Stranguria, Urinary tract infection",1,1,
CA-NAH-CA201500706,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=488075&_xt=AER&_xf=pdf""> AER </a>",2015-07-08 00:00:00,Veterinarian,Canada,FEMALE,Dog,Pinscher - Miniature,"Onsior 20 mg/ml  - Solution for injection (cats and dogs), Onsior 5 mg  - Tablet (dogs)","Decreased urine concentration, Other abnormal test result NOS, Polydipsia, Polyuria",1,1,
CA-NAH-CA201501022,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=505536&_xt=AER&_xf=pdf""> AER </a>",2015-08-28 00:00:00,Animal owner,Canada,FEMALE,Dog,Poodle - Standard,Onsior 40 mg  - Tablet (dogs),"Anorexia, Death by euthanasia, Elevated alanine aminotransferase (ALT), Elevated bile acids, Elevated serum alkaline phosphatase (ALP), Emesis, Hepatitis, Lethargy (see also Central nervous system depression in Neurological)",1,1,1
CA-NAH-CA201501325,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=517508&_xt=AER&_xf=pdf""> AER </a>",2015-09-30 00:00:00,Veterinarian,Canada,FEMALE,Dog,Chihuahua,"BAYTRIL 0,5% W/V ΠΟΣΙΜΟ ΔΙΑΛΥΜΑ, BAYTRIL 0,5% πόσιμο διάλυμα ενροφλοξακίνης για ορνίθια και γαλοπούλες, BAYTRIL 10 % SOLUTION BUVABLE, BAYTRIL 10 % SOLUTION INJECTABLE, BAYTRIL 10% W/V ΠΟΣΙΜΟ ΔΙΑΛΥΜΑ, BAYTRIL 100 mg/ml - soluţie orală, BAYTRIL 100 mg/ml SOLUCION INYECTABLE, BAYTRIL 100 mg/ml soluție injectabilă, BAYTRIL 15 mg δισκία για γάτες και σκύλους, BAYTRIL 150 mg δισκία για γάτες και σκύλους, BAYTRIL 2,5 % SOLUTION BUVABLE, BAYTRIL 2,5 % SOLUTION INJECTABLE, BAYTRIL 2,5% W/V ΕΝΕΣΙΜΟ ΔΙΑΛΥΜΑ, BAYTRIL 2,5% W/V ΠΟΣΙΜΟ ΔΙΑΛΥΜΑ, BAYTRIL 25 mg/ml SOLUCION INYECTABLE, BAYTRIL 25 mg/ml SOLUCION ORAL, BAYTRIL 5 % SOLUTION INJECTABLE, BAYTRIL 5 mg/ml SOLUCION ORAL, BAYTRIL 50 mg δισκία για γάτες και σκύλους, BAYTRIL 50 mg/ml SOLUCION INYECTABLE, BAYTRIL 50mg/ml ενέσιμο διάλυμα, BAYTRIL, 25mg/ml, Injekční roztok, BAYTRIL, 5% ενέσιμο διάλυμα για μόσχους, χοίρους, πρόβατα, αίγες, σκύλους και γάτες, BAYTRIL, 50mg/ml, Injekční roztok, Baytril  100 mg/ml Oplossing voor injectie, Baytril  100 mg/ml Solution injectable, Baytril - Das Original - 100 mg/ml Injektionslösung, Baytril - Das Original - 25 mg/ml Injektionslösung, Baytril - Das Original - 50 mg/ml Injektionslösung, Baytril 0,5 % solução oral para leitões, Baytril 0,5%, Baytril 10 % solução oral, Baytril 10%, Baytril 10% O.L., Baytril 10% Oral Solution, Baytril 100 mg/mL, otopina za injekciju, za goveda, ovce, koze i svinje, Baytril 100 mg/mL, otopina za primjenu u vodi za piće, za kokoši, purane i kuniće, Baytril 100 mg/ml - Injektionslösung für Tiere, Baytril 100 mg/ml - Lösung zum Eingeben für Hühner, Puten und Kaninchen, Baytril 100 mg/ml Oplossing voor gebruik in drinkwater, Baytril 100 mg/ml Solution buvable, Baytril 100 mg/ml Solution for Injection, Baytril 100 mg/ml koncentrat za peroralno raztopino za piščance, purane in kunce, Baytril 100 mg/ml oldat ivóvízbe keveréshez A.U.V., Baytril 100 mg/ml oplossing voor gebruik in drinkwater voor kippen, kalkoenen en konijnen, Baytril 100 mg/ml oplossing voor injectie, Baytril 100 mg/ml raztopina za injiciranje, Baytril 100 mg/ml solution for injection, Baytril 100 mg/ml soluzione iniettabile, Baytril 100 mg/ml solução injetável, Baytril 150 mg tabletta A.U.V., Baytril 2,5%, 25 mg/mL, otopina za injekciju za pse, mačke, prasad, kuniće, glodavce, gmazove i ukrasne ptice, Baytril 25 mg/ml - Injektionslösung für Tiere, Baytril 25 mg/ml - Lösung zum Eingeben für Kälber und Lämmer, Baytril 25 mg/ml Lösung zum Eingeben für Rinder (Kälber), Baytril 25 mg/ml Oplossing voor injectie, Baytril 25 mg/ml Oral Solution, Baytril 25 mg/ml Solution injectable, Baytril 25 mg/ml injekčný roztok, Baytril 25 mg/ml oldatos injekció A.U.V., Baytril 25 mg/ml oplossing voor injectie, Baytril 25 mg/ml roztwór do wstrzykiwań, Baytril 25 mg/ml solution for injection, Baytril 25 mg/ml soluzione iniettabile, Baytril 25 mg/ml soluzione iniettabile per cani, gatti, roditori e conigli da compagnia, rettili e uccelli ornamentali, Baytril 25 mg/ml soluzione orale per vitelli, ovini, caprini, suini, Baytril 25 mg/ml solução injetável, Baytril 5 mg/ml - Lösung zum Eingeben für Schweine, Baytril 5 mg/ml belsőleges oldat sertések részére A.U.V., Baytril 50 mg tabletta A.U.V., Baytril 50 mg/mL, otopina za injekciju, za telad, ovce, koze, svinje, pse i mačke, Baytril 50 mg/ml - Injektionslösung für Tiere, Baytril 50 mg/ml Oplossing voor injectie, Baytril 50 mg/ml Solution for Injection, Baytril 50 mg/ml Solution injectable, Baytril 50 mg/ml injekčný roztok, Baytril 50 mg/ml oldatos injekció A.U.V., Baytril 50 mg/ml oplossing voor injectie, Baytril 50 mg/ml raztopina za injiciranje, Baytril 50 mg/ml soluzione iniettabile, Baytril 50 mg/ml solução injetável, Baytril 50 mg/ml soluție injectabilă, Baytril Direct 100 mg/ml Injektionslösung für Rinder und Schweine, Baytril Piglet Doser 0.5% Oral Solution, Baytril Vet. 100 mg/ml injektionsvæske, opløsning, Baytril Vet. 150 mg tabletter, Baytril Vet. 25 mg/ml oral opløsning, Baytril Vet. 50 mg tabletter, Baytril Vet. 50 mg/ml i","Abnormal ultrasound finding, Anorexia, Gastritis, General pain (see other SOCs for specific pain), Hyperthermia, Joint inflammation, Joint pain, Joint swelling, Lameness, Lethargy (see also Central nervous system depression in Neurological), Localised pain NOS (see other SOCs for specific pain), Nausea, Neutrophilia, Oesophagitis, Other abnormal test result NOS, Stiff gait",1,1,
CA-UKPFIZAH-2015-CA-02093,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=513763&_xt=AER&_xf=pdf""> AER </a>",2015-09-24 00:00:00,Veterinarian,Canada,FEMALE,Dog,Chihuahua,"Convenia 80 mg/ml  - Powder and solvent for solution for injection, Onsior 20 mg/ml  - Solution for injection (cats and dogs)","Anorexia, Autoimmune disorder NOS, Dull, Nausea, Neutrophilia, Pain NOS, Reluctant to move",1,1,
CAN-ZZELANCORG-CA201500418,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=548288&_xt=AER&_xf=pdf""> AER </a>",2015-12-08 00:00:00,Other health care professional,Canada,FEMALE,Dog,Collie - Border,"Cartrophen vet, Onsior 40 mg  - Tablet (dogs)","Abnormal serum protein NOS, Cognitive disturbance, Decreased activity, Elevated blood urea nitrogen (BUN), Elevated liver enzymes NOS, Leukocytosis NOS, Loose stool, Restlessness",1,1,
