Case number,AER form,Received date,Reporter,Country,Gender,Species,Breed,Drug,Reaction,Animals affected,Animals treated,Animals died
AUT-ZZELANCO-AT2019_000008,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1307638&_xt=AER&_xf=pdf""> AER </a>",2019-05-31 00:00:00,Other health care professional,Austria,MALE,Dog,Dog (other),"Anarthron 100 mg/ml Solution for Injection, Galliprant 20 mg - Tablet","Blindness, Unsteady gait",1,1,
BE-FAGG-DVV-N2019-606,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1350783&_xt=AER&_xf=pdf""> AER </a>",2019-10-25 00:00:00,Other health care professional,Belgium,UNKNOWN,Dog,Unknown,"Galliprant 100 mg - Tablet, Galliprant 20 mg - Tablet, Galliprant 60 mg - Tablet",Apathy,1,1,
BEL-ZZELANCO-BE2019_000036,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1345249&_xt=AER&_xf=pdf""> AER </a>",2019-10-07 00:00:00,Animal owner,Belgium,MALE,Dog,Retriever - Golden,Galliprant 60 mg - Tablet,"Abnormal radiograph finding, Death, Decreased red blood cell count, Dehydration, Elevated cholesterol (total), Elevated liver enzymes NOS, Gastric ulcer, Hypoalbuminaemia, Impaired gastric function, Leukocytosis NOS, Neutrophilia, Other abnormal test result NOS, Pneumonia, Thrombocytosis, Vomiting",1,1,1
BEL-ZZELANCO-BE2019_000055,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1352387&_xt=AER&_xf=pdf""> AER </a>",2019-10-31 00:00:00,Veterinarian,Belgium,FEMALE,Dog,Dog (other),Galliprant 100 mg - Tablet,"Dermal mass, Skin inflammation NOS",1,1,
BEL-ZZELANCO-BE2019_000066,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1361647&_xt=AER&_xf=pdf""> AER </a>",2019-12-02 00:00:00,Veterinarian,Belgium,UNKNOWN,Dog,Boxer (German Boxer),"Galliprant 60 mg - Tablet, Tralieve 20 mg chewable tablets for dogs, Tralieve 50 mg/ml solution for injection for dogs, Tralieve 80 mg chewable tablets for dogs, Tralieve 80 mg compresse masticabili per cani","Anorexia, Found dead, Nausea, Rectal bleeding, Vomiting",1,1,1
CAN-ZZELANCO-CA2019_001048,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1349346&_xt=AER&_xf=pdf""> AER </a>",2019-10-21 00:00:00,Veterinarian,Canada,FEMALE,Dog,Retriever - Golden,"Galliprant 60 mg - Tablet, Onsior 10 mg  - Tablet (dogs), Onsior 20 mg  - Tablet (dogs), Onsior 20 mg/ml  - Solution for injection (cats and dogs), Onsior 40 mg  - Tablet (dogs), Onsior 5 mg  - Tablet (dogs), Onsior 6 mg  - Tablet (cats)","Elevated liver enzymes NOS, Elevated total bilirubin, Liver failure, Malaise, Not eating, Vomiting",1,1,
CAN-ZZELANCO-CA2019_001086,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1333336&_xt=AER&_xf=pdf""> AER </a>",2019-08-27 00:00:00,Animal owner,Canada,FEMALE,Dog,Rottweiler,"Galliprant 60 mg - Tablet, Onsior 10 mg  - Tablet (dogs), Onsior 20 mg  - Tablet (dogs), Onsior 20 mg/ml  - Solution for injection (cats and dogs), Onsior 40 mg  - Tablet (dogs), Onsior 5 mg  - Tablet (dogs), Onsior 6 mg  - Tablet (cats)","Abnormal ultrasound finding, Anaemia NOS, Bradycardia, Febrile, Haemorrhagic diarrhoea, Hypoalbuminaemia, Lethargy (see also Central nervous system depression in Neurological), Low blood pressure, Not eating, Pale mucous membrane, Vomiting",1,1,
CAN-ZZELANCO-CA2019_001220,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1341253&_xt=AER&_xf=pdf""> AER </a>",2019-09-25 00:00:00,Other health care professional,Canada,FEMALE,Dog,Siberian Husky,"Galliprant 100 mg - Tablet, Galliprant 20 mg - Tablet, Galliprant 60 mg - Tablet","Death by euthanasia, Lack of efficacy - NOS",1,1,1
CAN-ZZELANCO-CA2019_001334,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1349355&_xt=AER&_xf=pdf""> AER </a>",2019-10-21 00:00:00,Other health care professional,Canada,MALE,Dog,Retriever - Labrador,Galliprant 60 mg - Tablet,"Abnormal stool colouration, Death by euthanasia, Unable to rise",1,1,1
CAN-ZZELANCO-CA2019_001365,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1350880&_xt=AER&_xf=pdf""> AER </a>",2019-10-25 00:00:00,Veterinarian,Canada,FEMALE,Dog,Beagle,Galliprant 60 mg - Tablet,"Death by euthanasia, Elevated liver enzymes NOS",1,1,1
