country_group,months_available,current,K,model,r,t0,pct_capacity
Australia,33,1075036.0750360752,2526182.989385458,,0.09775093872966967,35.271965475018064,42.555748318834105
Canada,26.774193548387096,1366987.1794871795,4806018.449883454,,0.08377998905767772,36.24250092706199,28.443236199401795
EU_combined,54.70967741935484,5420435.510887772,6255044.803104639,,0.0956484529847923,41.053357652788385,86.65702135654382
France,54.70967741935484,2046583.850931677,2361705.743971006,,0.08216237765831462,39.586182501832,86.65702135654382
Germany,54.70967741935484,3156765.676567657,3642827.352188094,,0.08344140337206021,34.635019061436346,86.65702135654384
Italy,54.70967741935484,552795.0310559006,637911.4149117437,,0.0920279616709853,40.03843950716384,86.65702135654382
Rest_of_World,41,1095991.5611814344,1760744.0458242889,,0.1312301302657062,36.514177373161665,62.245933120185455
Spain,54.70967741935484,1597042.5138632162,1842946.4674216118,,0.09252957597146395,36.74569905512677,86.65702135654382
United Kingdom,54.70967741935484,4112251.8822724167,4745434.147052972,,0.10370347619623001,39.21394777077709,86.65702135654382
United States,24.870967741935484,7364136.413641364,29774533.647575796,,0.11624096877120368,33.15190878904847,24.733003380695916
