pt,country_group,n_sims,median_risk_observed,lower_95_observed,upper_95_observed,median_risk_corrected,lower_95_corrected,upper_95_corrected,n_exposed
Ataxia,Australia,1000,0.3326957010642221,0.21587212426329008,0.49955788565062875,1.9506695565144305,0.6386296589145213,4.677141511475105,103765624
Lack of efficacy,Australia,1000,0.32077824311565295,0.2081393914538588,0.48166327482135246,1.8807948261318237,0.615753372625046,4.509602114049132,103765624
Polydipsia,Australia,1000,0.27708089730423274,0.1797860378192774,0.41604970178067285,1.6245874813956003,0.5318736562303029,3.8952909901538932,103765624
Death,Australia,1000,0.2621840748685213,0.1701201218074883,0.39368143824407753,1.537244068417342,0.5032782983684586,3.685866743371426,103765624
Lethargy,Australia,1000,0.23139730850138432,0.15014389538312414,0.34745369360178063,1.3567343482622753,0.4441812254539805,3.2530566333543263,103765624
Urinary incontinence,Australia,1000,0.22345233653567156,0.1449887401768366,0.33552395304892974,1.310151194673871,0.42893036792766354,3.1413637017370104,103765624
Anorexia,Australia,1000,0.19763117764710508,0.12823448575640214,0.29675229625216454,1.1587559455115573,0.37936508096713356,2.7783616739807337,103765624
Polyuria/pollakiuria,Australia,1000,0.19763117764710508,0.12823448575640214,0.29675229625216454,1.1587559455115573,0.37936508096713356,2.7783616739807337,103765624
Musculoskeletal disorder NOS,Australia,1000,0.17876186922853726,0.1159909921414693,0.2684191624391438,1.0481209557390971,0.3431442943421309,2.5130909613896084,103765624
Emesis,Australia,1000,0.1678375327756822,0.10890265373282394,0.2520157691789739,0.9840691195550411,0.3221743652434451,2.359513180415799,103765624
Diarrhoea,Australia,1000,0.1608856823056835,0.10439189292732236,0.2415772461952294,0.9433088601651873,0.30882986490791775,2.2617818652506476,103765624
Muscle weakness,Australia,1000,0.15095446734854256,0.09794794891946294,0.22666507050416584,0.8850799181796819,0.2897662930000216,2.1221657007290027,103765624
Tachypnoea,Australia,1000,0.14996134585282847,0.097303554518677,0.2251738529350595,0.8792570239811313,0.287859935809232,2.108204084276838,103765624
Seizure,Australia,1000,0.1380438879042593,0.08957082170924574,0.20727924210578327,0.8093822935985249,0.26498364951975656,1.9406646868508641,103765624
Increased blood urea nitrogen (BUN) or creatinine,Australia,1000,0.12910579444283243,0.08377127210217228,0.19385828398382607,0.7569762458115701,0.24782643480265007,1.8150101387813837,103765624
Hyperactivity,Australia,1000,0.12513330845997608,0.08119369449902851,0.18789341370740067,0.7336846690173678,0.2402010060394916,1.7591636729727258,103765624
NA,Australia,1000,0.1161952149985492,0.07539414489195503,0.17447245558544344,0.6812786212304129,0.22304379132238505,1.6335091249032456,103765624
Elevated liver enzymes,Australia,1000,0.11222272901569283,0.07281656728881128,0.16850758530901802,0.6579870444362108,0.21541836255922664,1.5776626590945875,103765624
Behavioural disorder NOS,Australia,1000,0.10825024303283645,0.07023898968566752,0.16254271503259263,0.6346954676420087,0.20779293379606814,1.5218161932859298,103765624
Tremor,Australia,1000,0.09931214957140957,0.06443944007859405,0.14912175691063545,0.5822894198550539,0.19063571907896162,1.396161645216449,103765624
Anaemia,Australia,1000,0.09831902807569548,0.06379504567780811,0.14763053934152906,0.5764665256565034,0.18872936188817196,1.3822000287642846,103765624
Malaise,Australia,1000,0.0943465420928391,0.06121746807466435,0.14166566906510367,0.5531749488623011,0.1811039331250135,1.3263535629556265,103765624
Recumbency,Australia,1000,0.09136717760569682,0.059284284872306525,0.1371920163577846,0.5357062662666495,0.17538486155264466,1.284468713599133,103765624
Elevated serum alkaline phosphatase (ALP),Australia,1000,0.09037405610998273,0.058639890471520587,0.13570079878867827,0.529883372068099,0.17347850436185505,1.2705070971469687,103765624
Proprioception abnormality,Australia,1000,0.08739469162284044,0.056706707269162764,0.13122714608135919,0.5124146894724474,0.1677594327894862,1.2286222477904754,103765624
Anxiety,Australia,1000,0.07944971965712766,0.05155155206287524,0.11929740552850836,0.465831535884043,0.1525085752631693,1.116929316173159,103765624
Weight loss,Australia,1000,0.07647035516998538,0.04961836886051742,0.11482375282118928,0.4483628532883914,0.14678950369080043,1.0750444668166659,103765624
Disorientation,Australia,1000,0.07448411217855719,0.04832958005894554,0.11184131768297657,0.4367170648912904,0.1429767893092212,1.0471212339123368,103765624
